state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total
AK,2024,Alaska,HD01 01-600 Ketchikan No. 1,269,264,21,554,312,208,33,553
AK,2024,Alaska,HD01 01-610 Ketchikan No. 2,342,444,50,836,412,362,45,819
AK,2024,Alaska,HD01 01-620 Ketchikan No. 3,182,349,23,554,207,303,37,547
AK,2024,Alaska,HD01 01-640 North Tongass No. 1,114,289,9,412,132,258,17,407
AK,2024,Alaska,HD01 01-650 North Tongass No. 2,198,505,33,736,231,467,28,726
AK,2024,Alaska,HD01 01-660 Saxman,74,35,4,113,77,30,5,112
AK,2024,Alaska,HD01 01-670 South Tongass,212,378,31,621,249,353,22,624
AK,2024,Alaska,HD01 01-675 Coffman Cove,21,80,6,107,28,64,9,101
AK,2024,Alaska,HD01 01-680 Metlakatla,264,150,32,446,285,135,24,444
AK,2024,Alaska,HD01 01-690 Wrangell,200,451,21,672,235,383,42,660
AK,2024,Alaska,HD01 1-1 District 1 - Absentee,1311,1608,99,3018,1394,1447,92,2933
AK,2024,Alaska,HD01 District 1  - Question,167,301,27,495,160,200,38,398
AK,2024,Alaska,HD01 District 1 - Early Voting,13,7,0,20,13,4,2,19
AK,2024,Alaska,HD02 02-700 Angoon,75,25,13,113,83,19,9,111
AK,2024,Alaska,HD02 02-705 Craig,119,248,22,389,138,205,21,364
AK,2024,Alaska,HD02 02-720 Hoonah,108,129,21,258,143,95,15,253
AK,2024,Alaska,HD02 02-725 Hydaburg,71,16,11,98,77,12,5,94
AK,2024,Alaska,HD02 02-730 Kake,104,64,10,178,117,48,9,174
AK,2024,Alaska,HD02 02-735 Kasaan,7,13,5,25,10,10,4,24
AK,2024,Alaska,HD02 02-740 Klawock,134,197,12,343,151,154,23,328
AK,2024,Alaska,HD02 02-750 Pelican-Elfin Cove,15,23,2,40,20,16,0,36
AK,2024,Alaska,HD02 02-755 Petersburg-Kupreanof,277,498,57,832,350,401,48,799
AK,2024,Alaska,HD02 02-760 Port Alexander,5,6,0,11,7,3,0,10
AK,2024,Alaska,HD02 02-765 Sitka No. 1,436,467,52,955,499,387,49,935
AK,2024,Alaska,HD02 02-770 Sitka No. 2,456,386,58,900,515,313,44,872
AK,2024,Alaska,HD02 02-775 Tenakee Springs,26,12,3,41,28,10,3,41
AK,2024,Alaska,HD02 02-780 Thorne Bay,28,155,7,190,35,125,18,178
AK,2024,Alaska,HD02 02-785 Yakutat,117,92,14,223,130,71,19,220
AK,2024,Alaska,HD02 2-1 District 2 - Absentee,2455,2026,146,4627,2648,1716,138,4502
AK,2024,Alaska,HD02 District 2  - Question,98,147,20,265,71,69,18,158
AK,2024,Alaska,HD02 District 2 - Early Voting,40,30,5,75,45,17,10,72
AK,2024,Alaska,HD03 03-300 Auke Bay,259,191,30,480,295,163,22,480
AK,2024,Alaska,HD03 03-305 Lynn Canal,225,183,17,425,260,157,6,423
AK,2024,Alaska,HD03 03-310 Melvin Park,259,273,37,569,305,233,28,566
AK,2024,Alaska,HD03 03-315 Mendenhall Glacier,400,477,42,919,466,405,44,915
AK,2024,Alaska,HD03 03-320 Thunder Mountain,361,404,34,799,434,314,39,787
AK,2024,Alaska,HD03 03-325 Gustavus,104,75,10,189,114,62,11,187
AK,2024,Alaska,HD03 03-330 Haines No. 1,283,316,43,642,333,256,51,640
AK,2024,Alaska,HD03 03-335 Haines No. 2,46,55,8,109,54,49,2,105
AK,2024,Alaska,HD03 03-340 Klukwan,26,10,5,41,31,5,4,40
AK,2024,Alaska,HD03 03-345 Skagway,260,124,27,411,270,98,32,400
AK,2024,Alaska,HD03 3-1 District 3 - Absentee,1726,846,103,2675,1763,768,68,2599
AK,2024,Alaska,HD03 District 3  - Question,138,139,27,304,134,68,25,227
AK,2024,Alaska,HD03 District 3 - Early Voting,2043,1403,98,3544,2199,1241,75,3515
AK,2024,Alaska,HD04 04-100 Douglas,382,121,24,527,406,102,16,524
AK,2024,Alaska,HD04 04-105 Juneau Airport Area,121,163,13,297,141,133,19,293
AK,2024,Alaska,HD04 04-110 Juneau No. 1,282,124,23,429,308,102,17,427
AK,2024,Alaska,HD04 04-115 Juneau No. 2,358,72,30,460,389,64,7,460
AK,2024,Alaska,HD04 04-120 Juneau No. 3,164,76,15,255,183,66,5,254
AK,2024,Alaska,HD04 04-125 Lemon Creek,289,248,31,568,342,184,32,558
AK,2024,Alaska,HD04 04-130 Glacier Valley Area,178,187,18,383,216,151,16,383
AK,2024,Alaska,HD04 04-135 North Douglas,298,124,20,442,334,99,6,439
AK,2024,Alaska,HD04 4-1 District 4 - Absentee,1241,352,65,1658,1273,308,29,1610
AK,2024,Alaska,HD04 District 4  - Question,192,191,36,419,210,118,21,349
