"state","election_year","report_date","house_district","precinct_count","registered_voters"
"AK","2012","2012-11-03","01","7","14468"
"AK","2012","2012-11-03","02","6","14034"
"AK","2012","2012-11-03","03","5","12472"
"AK","2012","2012-11-03","04","10","13093"
"AK","2012","2012-11-03","05","9","13364"
"AK","2012","2012-11-03","06","10","12475"
"AK","2012","2012-11-03","07","9","12658"
"AK","2012","2012-11-03","08","9","12891"
"AK","2012","2012-11-03","09","6","12490"
"AK","2012","2012-11-03","10","6","11253"
"AK","2012","2012-11-03","11","7","12947"
"AK","2012","2012-11-03","12","5","11851"
"AK","2012","2012-11-03","13","5","12006"
"AK","2012","2012-11-03","14","7","12360"
"AK","2012","2012-11-03","15","7","11628"
"AK","2012","2012-11-03","16","10","12525"
"AK","2012","2012-11-03","17","6","9697"
"AK","2012","2012-11-03","18","9","12593"
"AK","2012","2012-11-03","19","8","13039"
"AK","2012","2012-11-03","20","7","12603"
"AK","2012","2012-11-03","21","7","13401"
"AK","2012","2012-11-03","22","8","11618"
"AK","2012","2012-11-03","23","8","12968"
"AK","2012","2012-11-03","24","7","12109"
"AK","2012","2012-11-03","25","8","13631"
"AK","2012","2012-11-03","26","7","15552"
"AK","2012","2012-11-03","27","9","15155"
"AK","2012","2012-11-03","28","10","13353"
"AK","2012","2012-11-03","29","6","13413"
"AK","2012","2012-11-03","30","11","15035"
"AK","2012","2012-11-03","31","7","14339"
"AK","2012","2012-11-03","32","10","14967"
"AK","2012","2012-11-03","33","10","12959"
"AK","2012","2012-11-03","34","15","13973"
"AK","2012","2012-11-03","35","13","12454"
"AK","2012","2012-11-03","36","43","9911"
"AK","2012","2012-11-03","37","19","9558"
"AK","2012","2012-11-03","38","29","11285"
"AK","2012","2012-11-03","39","43","11880"
"AK","2012","2012-11-03","40","20","8693"
"AK","2016","2016-11-03","01","9","12611"
"AK","2016","2016-11-03","02","4","11321"
"AK","2016","2016-11-03","03","5","13344"
"AK","2016","2016-11-03","04","7","14103"
"AK","2016","2016-11-03","05","9","13098"
"AK","2016","2016-11-03","06","33","14582"
"AK","2016","2016-11-03","07","7","13464"
"AK","2016","2016-11-03","08","6","12988"
"AK","2016","2016-11-03","09","11","14159"
"AK","2016","2016-11-03","10","11","14063"
"AK","2016","2016-11-03","11","9","14592"
"AK","2016","2016-11-03","12","7","14246"
"AK","2016","2016-11-03","13","6","12188"
"AK","2016","2016-11-03","14","7","16079"
"AK","2016","2016-11-03","15","5","11430"
"AK","2016","2016-11-03","16","7","13079"
"AK","2016","2016-11-03","17","7","11856"
"AK","2016","2016-11-03","18","10","13003"
"AK","2016","2016-11-03","19","6","10453"
"AK","2016","2016-11-03","20","9","13200"
"AK","2016","2016-11-03","21","8","13440"
"AK","2016","2016-11-03","22","7","13241"
"AK","2016","2016-11-03","23","8","12179"
"AK","2016","2016-11-03","24","7","13909"
"AK","2016","2016-11-03","25","7","13068"
"AK","2016","2016-11-03","26","8","13785"
"AK","2016","2016-11-03","27","8","13848"
"AK","2016","2016-11-03","28","9","15713"
"AK","2016","2016-11-03","29","11","14217"
"AK","2016","2016-11-03","30","6","14410"
"AK","2016","2016-11-03","31","9","15465"
"AK","2016","2016-11-03","32","14","12993"
"AK","2016","2016-11-03","33","11","15162"
"AK","2016","2016-11-03","34","7","14371"
"AK","2016","2016-11-03","35","14","14730"
"AK","2016","2016-11-03","36","10","13537"
"AK","2016","2016-11-03","37","35","10013"
"AK","2016","2016-11-03","38","31","10542"
"AK","2016","2016-11-03","39","33","10996"
"AK","2016","2016-11-03","40","23","9401"
"AK","2020","2020-11-03","01","9","13988"
"AK","2020","2020-11-03","02","4","12121"
"AK","2020","2020-11-03","03","5","14978"
"AK","2020","2020-11-03","04","7","15339"
"AK","2020","2020-11-03","05","9","14019"
"AK","2020","2020-11-03","06","33","15527"
"AK","2020","2020-11-03","07","7","16794"
"AK","2020","2020-11-03","08","6","17639"
"AK","2020","2020-11-03","09","11","17007"
"AK","2020","2020-11-03","10","11","17706"
"AK","2020","2020-11-03","11","9","16560"
"AK","2020","2020-11-03","12","7","16630"
"AK","2020","2020-11-03","13","6","13982"
"AK","2020","2020-11-03","14","7","16825"
"AK","2020","2020-11-03","15","5","12680"
"AK","2020","2020-11-03","16","7","15133"
"AK","2020","2020-11-03","17","7","13358"
"AK","2020","2020-11-03","18","10","14228"
"AK","2020","2020-11-03","19","6","12346"
"AK","2020","2020-11-03","20","9","14149"
"AK","2020","2020-11-03","21","8","14649"
"AK","2020","2020-11-03","22","7","15120"
"AK","2020","2020-11-03","23","8","14371"
"AK","2020","2020-11-03","24","7","15131"
"AK","2020","2020-11-03","25","7","15223"
"AK","2020","2020-11-03","26","8","15636"
"AK","2020","2020-11-03","27","8","15425"
"AK","2020","2020-11-03","28","9","16788"
"AK","2020","2020-11-03","29","11","16344"
"AK","2020","2020-11-03","30","6","16796"
"AK","2020","2020-11-03","31","9","18213"
"AK","2020","2020-11-03","32","14","14036"
"AK","2020","2020-11-03","33","11","16343"
"AK","2020","2020-11-03","34","7","16077"
"AK","2020","2020-11-03","35","14","15818"
"AK","2020","2020-11-03","36","10","15411"
"AK","2020","2020-11-03","37","35","10467"
"AK","2020","2020-11-03","38","31","12162"
"AK","2020","2020-11-03","39","33","12146"
"AK","2020","2020-11-03","40","23","10154"
