"state","election_year","report_date","house_district","source_precinct_code","source_precinct_name","registered_voters"
"AK","2012","2012-11-03","01","135","CHENA LAKES","2644"
"AK","2012","2012-11-03","01","145","EIELSON","2934"
"AK","2012","2012-11-03","01","155","MOOSE CREEK","603"
"AK","2012","2012-11-03","01","165","NEWBY","3200"
"AK","2012","2012-11-03","01","175","NORTH POLE","1855"
"AK","2012","2012-11-03","01","183","PLACK","2625"
"AK","2012","2012-11-03","01","195","SALCHA NO. 1","607"
"AK","2012","2012-11-03","02","235","BADGER NO. 1","2316"
"AK","2012","2012-11-03","02","245","FOX","1128"
"AK","2012","2012-11-03","02","255","STEELE CREEK/GILMORE","2640"
"AK","2012","2012-11-03","02","265","STEESE EAST","2153"
"AK","2012","2012-11-03","02","270","STEESE WEST","4678"
"AK","2012","2012-11-03","02","275","TWO RIVERS","1119"
"AK","2012","2012-11-03","03","345","BADGER NO. 2","2067"
"AK","2012","2012-11-03","03","355","FAIRBANKS NO. 8","1864"
"AK","2012","2012-11-03","03","365","FAIRBANKS NO. 9","2912"
"AK","2012","2012-11-03","03","375","FORT WAINWRIGHT","4348"
"AK","2012","2012-11-03","03","385","RICHARDSON","1281"
"AK","2012","2012-11-03","04","446","AURORA","2713"
"AK","2012","2012-11-03","04","455","FAIRBANKS NO. 1","534"
"AK","2012","2012-11-03","04","465","FAIRBANKS NO. 2","1170"
"AK","2012","2012-11-03","04","470","FAIRBANKS NO. 3","1329"
"AK","2012","2012-11-03","04","475","FAIRBANKS NO. 4","740"
"AK","2012","2012-11-03","04","480","FAIRBANKS NO. 5","2099"
"AK","2012","2012-11-03","04","485","FAIRBANKS NO. 6","1309"
"AK","2012","2012-11-03","04","490","FAIRBANKS NO. 7","1836"
"AK","2012","2012-11-03","04","495","FAIRBANKS NO. 10","842"
"AK","2012","2012-11-03","04","499","LAKEVIEW","521"
"AK","2012","2012-11-03","05","580","AIRPORT","559"
"AK","2012","2012-11-03","05","582","CHENA","4083"
"AK","2012","2012-11-03","05","584","FARMERS LOOP","1298"
"AK","2012","2012-11-03","05","586","GEIST","1983"
"AK","2012","2012-11-03","05","588","PIKE","552"
"AK","2012","2012-11-03","05","590","SALCHA NO. 2","350"
"AK","2012","2012-11-03","05","592","SHANLY","1087"
"AK","2012","2012-11-03","05","594","UNIVERSITY CAMPUS","797"
"AK","2012","2012-11-03","05","596","UNIVERSITY WEST","2655"
"AK","2012","2012-11-03","06","600","BIG DELTA","2787"
"AK","2012","2012-11-03","06","608","DELTA JUNCTION","744"
"AK","2012","2012-11-03","06","622","FARM LOOP","863"
"AK","2012","2012-11-03","06","628","FISHHOOK","2741"
"AK","2012","2012-11-03","06","632","GLENNALLEN","845"
"AK","2012","2012-11-03","06","640","SHEEP MOUNTAIN","340"
"AK","2012","2012-11-03","06","645","SUTTON","1024"
"AK","2012","2012-11-03","06","650","VALDEZ NO. 1","1111"
"AK","2012","2012-11-03","06","655","VALDEZ NO. 2","900"
"AK","2012","2012-11-03","06","660","VALDEZ NO. 3","1120"
"AK","2012","2012-11-03","07","005","KINGS LAKE","1917"
"AK","2012","2012-11-03","07","010","CHURCH","1745"
"AK","2012","2012-11-03","07","015","TANAINA","2022"
"AK","2012","2012-11-03","07","020","HOUSTON","1222"
"AK","2012","2012-11-03","07","025","MEADOW LAKES NO. 1","1479"
"AK","2012","2012-11-03","07","030","SUSITNA","1004"
"AK","2012","2012-11-03","07","035","TALKEETNA","960"
"AK","2012","2012-11-03","07","040","TRAPPER CREEK","607"
"AK","2012","2012-11-03","07","045","WILLOW","1702"
"AK","2012","2012-11-03","08","055","WALBY","1790"
"AK","2012","2012-11-03","08","060","GREATER PALMER","1645"
"AK","2012","2012-11-03","08","065","MAT-SU CAMPUS","1215"
"AK","2012","2012-11-03","08","070","CITY OF PALMER NO. 1","2295"
"AK","2012","2012-11-03","08","075","CITY OF PALMER NO. 2","1750"
"AK","2012","2012-11-03","08","080","PALMER FISHHOOK","609"
"AK","2012","2012-11-03","08","085","TRUNK","1234"
"AK","2012","2012-11-03","08","090","SEWARD MERIDIAN","1120"
"AK","2012","2012-11-03","08","095","SPRINGER LOOP","1233"
"AK","2012","2012-11-03","09","100","LAKES","1809"
"AK","2012","2012-11-03","09","105","PIONEER PEAK","1456"
"AK","2012","2012-11-03","09","110","SCHROCK","2076"
"AK","2012","2012-11-03","09","115","WASILLA LAKE","1391"
"AK","2012","2012-11-03","09","120","WASILLA NO. 1","3218"
"AK","2012","2012-11-03","09","125","WASILLA NO. 2","2540"
"AK","2012","2012-11-03","10","130","MEADOW LAKES NO. 2","1151"
"AK","2012","2012-11-03","10","135","MEADOW LAKES NO. 3","2119"
"AK","2012","2012-11-03","10","140","KNIK GOOSE BAY NO. 1","2129"
"AK","2012","2012-11-03","10","145","KNIK GOOSE BAY NO. 2","1496"
"AK","2012","2012-11-03","10","150","KNIK GOOSE BAY NO. 3","2033"
"AK","2012","2012-11-03","10","155","BIG LAKE","2325"
"AK","2012","2012-11-03","11","200","FAIR VIEW NO. 1","975"
"AK","2012","2012-11-03","11","205","FAIR VIEW NO. 2","1310"
"AK","2012","2012-11-03","11","210","SNOWSHOE","1299"
"AK","2012","2012-11-03","11","215","LAZY MOUNTAIN","2008"
"AK","2012","2012-11-03","11","220","BUTTE","2106"
"AK","2012","2012-11-03","11","225","EKLUTNA","2666"
"AK","2012","2012-11-03","11","230","PETERS CREEK NO. 1","2583"
"AK","2012","2012-11-03","12","235","PETERS CREEK NO. 2","1822"
"AK","2012","2012-11-03","12","240","FIRE LAKE","1749"
"AK","2012","2012-11-03","12","245","JBER NO. 1","4090"
"AK","2012","2012-11-03","12","250","DWNTWN E.RIVER NO. 1","2755"
"AK","2012","2012-11-03","12","255","CHUGACH PARK NO. 1","1435"
"AK","2012","2012-11-03","13","300","JBER NO. 2","4114"
"AK","2012","2012-11-03","13","305","CREEKSIDE PARK","2043"
"AK","2012","2012-11-03","13","310","MULDOON NO 1","2105"
"AK","2012","2012-11-03","13","315","MULDOON NO 2","1570"
"AK","2012","2012-11-03","13","320","NORTH MULDOON","2174"
"AK","2012","2012-11-03","14","325","RUSSIAN JACK","1280"
"AK","2012","2012-11-03","14","330","NUNAKA VALLEY","2256"
"AK","2012","2012-11-03","14","335","NORTHEAST ANCHORAGE","1528"
"AK","2012","2012-11-03","14","340","COLLEGE GATE","1417"
"AK","2012","2012-11-03","14","345","CHESTER VALLEY","1405"
"AK","2012","2012-11-03","14","350","REFLECTION LAKE","2773"
"AK","2012","2012-11-03","14","355","WONDER PARK","1701"
"AK","2012","2012-11-03","15","400","MIDTOWN NO. 1","1351"
"AK","2012","2012-11-03","15","405","UNIVERSITY NO. 1","1278"
"AK","2012","2012-11-03","15","410","UNIVERSITY NO. 2","1358"
"AK","2012","2012-11-03","15","415","FAR N. BICENTENNIAL","1294"
"AK","2012","2012-11-03","15","420","TUDOR NO. 1","3250"
"AK","2012","2012-11-03","15","425","TUDOR NO.2","1850"
"AK","2012","2012-11-03","15","430","EAST ANCHORAGE","1247"
"AK","2012","2012-11-03","16","435","INLET VIEW NO. 1","929"
"AK","2012","2012-11-03","16","440","TURNAGAIN NO. 1","909"
"AK","2012","2012-11-03","16","445","TURNAGAIN NO. 2","1249"
"AK","2012","2012-11-03","16","450","WILLOW CREST","1363"
"AK","2012","2012-11-03","16","455","SPENARD NO. 1","1617"
"AK","2012","2012-11-03","16","460","SPENARD NO. 2","1900"
"AK","2012","2012-11-03","16","465","SPENARD NO. 3","1192"
"AK","2012","2012-11-03","16","470","FIREWEED","756"
"AK","2012","2012-11-03","16","475","MIDTOWN NO. 2","1093"
"AK","2012","2012-11-03","16","480","ROGERS PARK","1517"
"AK","2012","2012-11-03","17","500","NORTH MT. VIEW NO. 1","1679"
"AK","2012","2012-11-03","17","505","NORTH MT. VIEW NO. 2","1911"
"AK","2012","2012-11-03","17","510","SOUTH MT. VIEW NO. 1","1853"
"AK","2012","2012-11-03","17","515","SOUTH MT. VIEW NO. 2","1068"
"AK","2012","2012-11-03","17","520","AIRPORT HEIGHTS NO.1","1461"
"AK","2012","2012-11-03","17","525","AIRPORT HEIGHTS NO.2","1725"
"AK","2012","2012-11-03","18","530","GOVERNMENT HILL","1315"
