state,election_year,jurisdiction_name,trump,harris,other
AL,2024,Autauga,20484,7439,358
AL,2024,Baldwin,95798,24934,1517
AL,2024,Barbour,5606,4158,91
AL,2024,Bibb,7572,1619,66
AL,2024,Blount,25354,2576,233
AL,2024,Bullock,1101,2983,27
AL,2024,Butler,5172,3251,57
AL,2024,Calhoun,34912,13194,547
AL,2024,Chambers,8711,5405,129
AL,2024,Cherokee,11358,1553,95
AL,2024,Chilton,16920,2698,145
AL,2024,Choctaw,4103,2515,38
AL,2024,Clarke,6965,4927,66
AL,2024,Clay,5734,993,40
AL,2024,Cleburne,6988,605,58
AL,2024,Coffee,17495,4601,223
AL,2024,Colbert,19714,7137,309
AL,2024,Conecuh,3423,2580,48
AL,2024,Coosa,3758,1478,32
AL,2024,Covington,14677,2314,104
AL,2024,Crenshaw,5000,1457,29
AL,2024,Cullman,38704,4039,403
AL,2024,Dale,14476,4484,179
AL,2024,Dallas,5190,10236,121
AL,2024,DeKalb,25633,3758,269
AL,2024,Elmore,31374,9774,476
AL,2024,Escambia,10884,3964,109
AL,2024,Etowah,35653,10027,457
AL,2024,Fayette,7158,1142,69
AL,2024,Franklin,10417,1568,112
AL,2024,Geneva,10929,1391,81
AL,2024,Greene,885,3133,21
AL,2024,Hale,3369,3868,68
AL,2024,Henry,6989,2263,68
AL,2024,Houston,32469,11352,528
AL,2024,Jackson,20073,3276,207
AL,2024,Jefferson,131123,162112,5469
AL,2024,Lamar,6033,806,51
AL,2024,Lauderdale,32708,10326,603
AL,2024,Lawrence,13024,2983,115
AL,2024,Lee,46020,25798,1309
AL,2024,Limestone,37887,14581,864
AL,2024,Lowndes,1758,3867,30
AL,2024,Macon,1682,6084,68
AL,2024,Madison,105430,87824,4363
AL,2024,Marengo,4995,4631,56
AL,2024,Marion,12245,1197,101
AL,2024,Marshall,34434,5553,401
AL,2024,Mobile,100759,72055,2350
AL,2024,Monroe,6007,3740,68
AL,2024,Montgomery,30477,57946,1375
AL,2024,Morgan,40449,12392,702
AL,2024,Perry,1269,3174,22
AL,2024,Pickens,5465,3388,59
AL,2024,Pike,8224,4899,111
AL,2024,Randolph,9102,1920,69
AL,2024,Russell,10078,10422,218
AL,2024,Shelby,79666,33087,1945
AL,2024,St. Clair,35501,7640,385
AL,2024,Sumter,1542,3725,40
AL,2024,Talladega,22100,10898,252
AL,2024,Tallapoosa,14884,4975,164
AL,2024,Tuscaloosa,50724,33399,1133
AL,2024,Walker,25464,4102,220
AL,2024,Washington,6534,1863,44
AL,2024,Wilcox,1793,3449,21
AL,2024,Winston,10191,884,74
