state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total
AL,2024,Autauga,10 JONES COMM_ CTR_,127,248,4,379,111,255,0,366
AL,2024,Autauga,100 TRINITY METHODIST,440,1709,31,2180,460,1679,5,2144
AL,2024,Autauga,110 CENTRAL AL ELECTRIC,156,129,1,286,151,133,0,284
AL,2024,Autauga,140 AUTAUGAVILLE VFD,323,387,6,716,316,381,0,697
AL,2024,Autauga,150 PRATTMONT BAPTIST,251,642,22,915,264,626,2,892
AL,2024,Autauga,160 DOSTER COMM_ CTR_,1502,3591,72,5165,1503,3590,6,5099
AL,2024,Autauga,170 CAMELLIA BAPTIST,497,958,18,1473,500,943,0,1443
AL,2024,Autauga,180 OLD KINGSTON VFD,253,525,5,783,257,510,1,768
AL,2024,Autauga,20 HERITAGE BAPTIST,633,1784,40,2457,623,1787,3,2413
AL,2024,Autauga,220 UPPER KINGSTON,285,801,10,1096,285,786,3,1074
AL,2024,Autauga,230 COUNTY LINE BAPTIST,188,1140,9,1337,193,1128,0,1321
AL,2024,Autauga,240 GLYNWOOD BAPTIST,685,1324,32,2041,677,1343,3,2023
AL,2024,Autauga,30 BILLINGSLEY COMM_ CTR_,38,439,1,478,39,433,0,472
AL,2024,Autauga,40 CENTRAL AL COMM_ COLLEGE,721,1424,29,2174,719,1421,2,2142
AL,2024,Autauga,50 WHITE CITY VFD,140,463,2,605,138,466,0,604
AL,2024,Autauga,60 MARBURY MIDDLE SCHOOL,84,833,15,932,92,822,2,916
AL,2024,Autauga,70 BOONE'S CHAPEL,298,1922,28,2248,314,1901,3,2218
AL,2024,Autauga,80 FRIENDSHIP BAPTIST,173,267,4,444,171,264,1,436
AL,2024,Autauga,90 BOOTH VFD,166,653,6,825,165,651,0,816
AL,2024,Autauga,ABSENTEE,469,1208,19,1696,442,1228,3,1673
AL,2024,Autauga,PROVISIONAL,10,37,4,51,12,39,0,51
