state,election_year,jurisdiction_name,ballots_cast_from_precinct_zip,november_active_registered_voters,source_month,ballots_source_url,denominator_source_url,notes
AL,2024,Autauga,28388,46518,November 2024,https://www.sos.alabama.gov/sites/default/files/election-data/2024-12/2024-General%20Precinct%20Level%20Results.zip,https://www.sos.alabama.gov/sites/default/files/election-data/2025-01/ALVR-2024.xlsx,State-native turnout lead only; active ETL keeps EAC fallback until SOS Total Ballots Cast PDF and ALVR denominator timing are reconciled.
AL,2024,Baldwin,122542,208997,November 2024,https://www.sos.alabama.gov/sites/default/files/election-data/2024-12/2024-General%20Precinct%20Level%20Results.zip,https://www.sos.alabama.gov/sites/default/files/election-data/2025-01/ALVR-2024.xlsx,State-native turnout lead only; active ETL keeps EAC fallback until SOS Total Ballots Cast PDF and ALVR denominator timing are reconciled.
AL,2024,Barbour,9919,17694,November 2024,https://www.sos.alabama.gov/sites/default/files/election-data/2024-12/2024-General%20Precinct%20Level%20Results.zip,https://www.sos.alabama.gov/sites/default/files/election-data/2025-01/ALVR-2024.xlsx,State-native turnout lead only; active ETL keeps EAC fallback until SOS Total Ballots Cast PDF and ALVR denominator timing are reconciled.
AL,2024,Bibb,9278,15161,November 2024,https://www.sos.alabama.gov/sites/default/files/election-data/2024-12/2024-General%20Precinct%20Level%20Results.zip,https://www.sos.alabama.gov/sites/default/files/election-data/2025-01/ALVR-2024.xlsx,State-native turnout lead only; active ETL keeps EAC fallback until SOS Total Ballots Cast PDF and ALVR denominator timing are reconciled.
AL,2024,Blount,28138,43611,November 2024,https://www.sos.alabama.gov/sites/default/files/election-data/2024-12/2024-General%20Precinct%20Level%20Results.zip,https://www.sos.alabama.gov/sites/default/files/election-data/2025-01/ALVR-2024.xlsx,State-native turnout lead only; active ETL keeps EAC fallback until SOS Total Ballots Cast PDF and ALVR denominator timing are reconciled.
AL,2024,Bullock,4144,7176,November 2024,https://www.sos.alabama.gov/sites/default/files/election-data/2024-12/2024-General%20Precinct%20Level%20Results.zip,https://www.sos.alabama.gov/sites/default/files/election-data/2025-01/ALVR-2024.xlsx,State-native turnout lead only; active ETL keeps EAC fallback until SOS Total Ballots Cast PDF and ALVR denominator timing are reconciled.
AL,2024,Butler,8530,14549,November 2024,https://www.sos.alabama.gov/sites/default/files/election-data/2024-12/2024-General%20Precinct%20Level%20Results.zip,https://www.sos.alabama.gov/sites/default/files/election-data/2025-01/ALVR-2024.xlsx,State-native turnout lead only; active ETL keeps EAC fallback until SOS Total Ballots Cast PDF and ALVR denominator timing are reconciled.
AL,2024,Calhoun,48819,84633,November 2024,https://www.sos.alabama.gov/sites/default/files/election-data/2024-12/2024-General%20Precinct%20Level%20Results.zip,https://www.sos.alabama.gov/sites/default/files/election-data/2025-01/ALVR-2024.xlsx,State-native turnout lead only; active ETL keeps EAC fallback until SOS Total Ballots Cast PDF and ALVR denominator timing are reconciled.
AL,2024,Chambers,14380,26877,November 2024,https://www.sos.alabama.gov/sites/default/files/election-data/2024-12/2024-General%20Precinct%20Level%20Results.zip,https://www.sos.alabama.gov/sites/default/files/election-data/2025-01/ALVR-2024.xlsx,State-native turnout lead only; active ETL keeps EAC fallback until SOS Total Ballots Cast PDF and ALVR denominator timing are reconciled.
AL,2024,Cherokee,13030,21505,November 2024,https://www.sos.alabama.gov/sites/default/files/election-data/2024-12/2024-General%20Precinct%20Level%20Results.zip,https://www.sos.alabama.gov/sites/default/files/election-data/2025-01/ALVR-2024.xlsx,State-native turnout lead only; active ETL keeps EAC fallback until SOS Total Ballots Cast PDF and ALVR denominator timing are reconciled.
AL,2024,Chilton,19824,31595,November 2024,https://www.sos.alabama.gov/sites/default/files/election-data/2024-12/2024-General%20Precinct%20Level%20Results.zip,https://www.sos.alabama.gov/sites/default/files/election-data/2025-01/ALVR-2024.xlsx,State-native turnout lead only; active ETL keeps EAC fallback until SOS Total Ballots Cast PDF and ALVR denominator timing are reconciled.
