state,election_year,jurisdiction_name,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
AL,2012,Autauga,al-2012-president-general-county-workbook,county,official_county_workbook,6363,17379,231,23973,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Baldwin,al-2012-president-general-county-workbook,county,official_county_workbook,18424,66016,1051,85491,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Barbour,al-2012-president-general-county-workbook,county,official_county_workbook,5912,5550,55,11517,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Bibb,al-2012-president-general-county-workbook,county,official_county_workbook,2202,6132,86,8420,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Blount,al-2012-president-general-county-workbook,county,official_county_workbook,2970,20757,333,24060,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Bullock,al-2012-president-general-county-workbook,county,official_county_workbook,4061,1251,10,5322,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Butler,al-2012-president-general-county-workbook,county,official_county_workbook,4374,5087,41,9502,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Calhoun,al-2012-president-general-county-workbook,county,official_county_workbook,15511,30278,575,46364,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Chambers,al-2012-president-general-county-workbook,county,official_county_workbook,6871,7626,132,14629,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Cherokee,al-2012-president-general-county-workbook,county,official_county_workbook,2132,7506,154,9792,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Chilton,al-2012-president-general-county-workbook,county,official_county_workbook,3397,13932,156,17485,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Choctaw,al-2012-president-general-county-workbook,county,official_county_workbook,3786,4152,38,7976,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Clarke,al-2012-president-general-county-workbook,county,official_county_workbook,6334,7470,56,13860,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Clay,al-2012-president-general-county-workbook,county,official_county_workbook,1777,4817,85,6679,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Cleburne,al-2012-president-general-county-workbook,county,official_county_workbook,971,5272,76,6319,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Coffee,al-2012-president-general-county-workbook,county,official_county_workbook,4925,14666,230,19821,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
AL,2012,Colbert,al-2012-president-general-county-workbook,county,official_county_workbook,9166,13936,342,23444,https://www.sos.alabama.gov/sites/default/files/election-data/2017-06/eapresidentgeneral1976-2012_0.xls
