state,election_year,jurisdiction_name,county,local_unit,level,registered_voters,ballots_cast,turnout_pct,denominator_type,denominator_note,warning_required,source_url,trump,harris,oliver,stein,skousen,ayyadurai,delacruz,shelton,boddie
AZ,2024,Apache County,Apache County,Apache County,county,54060,32685,60.46,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,12795,18872,192,160,2,0,2,0,0
AZ,2024,Cochise County,Cochise County,Cochise County,county,82242,59501,72.35,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,35936,22296,380,311,5,0,6,1,0
AZ,2024,Coconino County,Coconino County,Coconino County,county,90681,70993,78.29,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,27576,41504,508,479,1,7,19,2,0
AZ,2024,Gila County,Gila County,Gila County,county,34653,27979,80.74,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,18901,8504,138,105,0,0,0,0,0
AZ,2024,Graham County,Graham County,Graham County,county,20714,15327,73.99,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,11177,3867,87,52,0,0,0,0,0
AZ,2024,Greenlee County,Greenlee County,Greenlee County,county,4720,3341,70.78,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,2308,954,27,19,0,0,0,0,0
AZ,2024,La Paz County,La Paz County,La Paz County,county,12375,7700,62.22,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,5470,2101,28,25,0,2,0,0,0
AZ,2024,Maricopa County,Maricopa County,Maricopa County,county,2587196,2078460,80.34,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,1051531,980016,10737,11661,28,40,388,10,4
AZ,2024,Mohave County,Mohave County,Mohave County,county,147549,111355,75.47,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,85683,24081,401,285,2,1,4,0,0
AZ,2024,Navajo County,Navajo County,Navajo County,county,69774,51386,73.65,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,29480,20754,275,197,0,3,6,0,0
AZ,2024,Pima County,Pima County,Pima County,county,662357,518466,78.28,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,214669,292450,2848,3209,12,11,234,3,0
AZ,2024,Pinal County,Pinal County,Pinal County,county,282639,211595,74.86,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,126926,80656,1084,886,0,3,10,1,0
AZ,2024,Santa Cruz County,Santa Cruz County,Santa Cruz County,county,31758,19428,61.18,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,7699,11265,81,76,0,1,4,0,0
AZ,2024,Yavapai County,Yavapai County,Yavapai County,county,175209,150885,86.12,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,99346,48717,784,555,3,9,12,2,0
AZ,2024,Yuma County,Yuma County,Yuma County,county,111666,68910,61.71,totalEligibleRegistration,Arizona signed canvass Total Eligible Registration denominator,false,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,40745,26823,328,299,0,0,4,0,0
