state,election_year,jurisdiction_name,county,local_unit,level,source_url,comparison_dem,comparison_rep,comparison_other
AZ,2024,Apache County,Apache County,Apache County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,19901,11283,679
AZ,2024,Cochise County,Cochise County,Cochise County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,23347,33184,1585
AZ,2024,Coconino County,Coconino County,Coconino County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,42924,24825,1736
AZ,2024,Gila County,Gila County,Gila County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,9330,17433,565
AZ,2024,Graham County,Graham County,Graham County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,4235,10385,373
AZ,2024,Greenlee County,Greenlee County,Greenlee County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,1102,2078,104
AZ,2024,La Paz County,La Paz County,La Paz County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,2292,4998,219
AZ,2024,Maricopa County,Maricopa County,Maricopa County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,1045766,940465,44417
AZ,2024,Mohave County,Mohave County,Mohave County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,26578,79494,2415
AZ,2024,Navajo County,Navajo County,Navajo County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,22173,27218,1085
AZ,2024,Pima County,Pima County,Pima County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,298751,193021,13970
AZ,2024,Pinal County,Pinal County,Pinal County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,86674,115595,4672
AZ,2024,Santa Cruz County,Santa Cruz County,Santa Cruz County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,11986,6370,599
AZ,2024,Yavapai County,Yavapai County,Yavapai County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,52077,93200,2592
AZ,2024,Yuma County,Yuma County,Yuma County,county,https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf,29199,36212,1707
