state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
AZ,2012,Apache County,Apache County,Apache County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,17147,8250,520,25917
AZ,2012,Cochise County,Cochise County,Cochise County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,18546,29497,1158,49201
AZ,2012,Coconino County,Coconino County,Coconino County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,29257,21220,1485,51962
AZ,2012,Gila County,Gila County,Gila County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,7697,13455,443,21595
AZ,2012,Graham County,Graham County,Graham County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,3609,8076,220,11905
AZ,2012,Greenlee County,Greenlee County,Greenlee County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,1310,1592,84,2986
AZ,2012,La Paz County,La Paz County,La Paz County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,1880,3714,141,5735
AZ,2012,Maricopa County,Maricopa County,Maricopa County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,602288,749885,28786,1380959
AZ,2012,Mohave County,Mohave County,Mohave County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,19533,49168,1627,70328
AZ,2012,Navajo County,Navajo County,Navajo County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,16945,19884,636,37465
AZ,2012,Pima County,Pima County,Pima County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,201251,174779,7143,383173
AZ,2012,Pinal County,Pinal County,Pinal County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,44306,62079,2297,108682
AZ,2012,Santa Cruz County,Santa Cruz County,Santa Cruz County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona,9486,4235,190,13911
