state,election_year,county,jurisdiction_tag,local_unit,level,dem_candidate,rep_candidate,dem_votes,rep_votes,other_votes,total_votes,comparison_contest,comparison_dem_candidate,comparison_rep_candidate,comparison_dem_votes,comparison_rep_votes,comparison_other_votes,coverage_mode,source_id,comparison_source_id,source_url
AZ,2016,Apache County,county:04001,Apache County,county,Hillary Clinton,Donald J. Trump,17083,8240,1796,27119,U.S. Senator,Ann Kirkpatrick,John McCain,18446,7944,1346,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,Cochise County,county:04003,Cochise County,county,Hillary Clinton,Donald J. Trump,17450,28092,3842,49384,U.S. Senator,Ann Kirkpatrick,John McCain,17642,27636,3210,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,Coconino County,county:04005,Coconino County,county,Hillary Clinton,Donald J. Trump,32404,21108,4928,58440,U.S. Senator,Ann Kirkpatrick,John McCain,31695,24031,3172,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,Gila County,county:04007,Gila County,county,Hillary Clinton,Donald J. Trump,7003,14182,1127,22312,U.S. Senator,Ann Kirkpatrick,John McCain,6701,13157,1637,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,Graham County,county:04009,Graham County,county,Hillary Clinton,Donald J. Trump,3301,8025,808,12134,U.S. Senator,Ann Kirkpatrick,John McCain,3280,7728,885,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,Greenlee County,county:04011,Greenlee County,county,Hillary Clinton,Donald J. Trump,1092,1892,286,3270,U.S. Senator,Ann Kirkpatrick,John McCain,1189,1784,268,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,La Paz County,county:04012,La Paz County,county,Hillary Clinton,Donald J. Trump,1575,4003,299,5877,U.S. Senator,Ann Kirkpatrick,John McCain,1629,3662,450,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,Maricopa County,county:04013,Maricopa County,county,Hillary Clinton,Donald J. Trump,702907,747361,98830,1549098,U.S. Senator,Ann Kirkpatrick,John McCain,602635,842425,80686,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,Mohave County,county:04015,Mohave County,county,Hillary Clinton,Donald J. Trump,17455,58282,3609,79346,U.S. Senator,Ann Kirkpatrick,John McCain,19045,50486,6631,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,Navajo County,county:04017,Navajo County,county,Hillary Clinton,Donald J. Trump,16459,20577,2618,39654,U.S. Senator,Ann Kirkpatrick,John McCain,17645,18760,2745,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,Pima County,county:04019,Pima County,county,Hillary Clinton,Donald J. Trump,224661,167428,24329,416418,U.S. Senator,Ann Kirkpatrick,John McCain,202213,187910,19614,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,Pinal County,county:04021,Pinal County,county,Hillary Clinton,Donald J. Trump,47892,72819,7543,128254,U.S. Senator,Ann Kirkpatrick,John McCain,45402,72787,8493,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,Santa Cruz County,county:04023,Santa Cruz County,county,Hillary Clinton,Donald J. Trump,11690,3897,700,16287,U.S. Senator,Ann Kirkpatrick,John McCain,9745,5635,609,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
AZ,2016,Yavapai County,county:04025,Yavapai County,county,Hillary Clinton,Donald J. Trump,35590,71330,6236,113156,U.S. Senator,Ann Kirkpatrick,John McCain,34527,68032,7708,presidentVsUSSenateCounty,az-2016-general-official-signed-state-canvass,az-2016-general-official-signed-state-canvass,https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
