state,election_year,jurisdiction_code,jurisdiction_name,harris,trump,other
CA,2024,CA-001,Alameda,499551,140789,29567
CA,2024,CA-003,Alpine,479,243,16
CA,2024,CA-005,Amador,7783,14018,602
CA,2024,CA-007,Butte,44228,47179,3149
CA,2024,CA-009,Calaveras,9181,16625,674
CA,2024,CA-011,Colusa,2431,4414,176
CA,2024,CA-013,Contra Costa,356008,155308,17671
CA,2024,CA-015,Del Norte,4266,5999,300
CA,2024,CA-017,El Dorado,47703,61109,3096
CA,2024,CA-019,Fresno,151628,165924,8497
CA,2024,CA-021,Glenn,3260,6904,278
CA,2024,CA-023,Humboldt,39800,21559,2873
CA,2024,CA-025,Imperial,26083,26546,1409
CA,2024,CA-027,Inyo,4201,4468,284
CA,2024,CA-029,Kern,108241,167879,7164
CA,2024,CA-031,Kings,15519,25074,915
CA,2024,CA-033,Lake,12794,13161,806
CA,2024,CA-035,Lassen,2478,8619,274
CA,2024,CA-037,Los Angeles,2417109,1189862,122118
CA,2024,CA-039,Madera,20981,32344,1307
CA,2024,CA-041,Marin,116152,24054,3923
CA,2024,CA-043,Mariposa,3622,5625,262
CA,2024,CA-045,Mendocino,24049,13528,1642
CA,2024,CA-047,Merced,40190,43955,2266
CA,2024,CA-049,Modoc,1008,2884,124
CA,2024,CA-051,Mono,3522,2294,248
CA,2024,CA-053,Monterey,93060,49226,4468
CA,2024,CA-055,Napa,43212,20357,1992
CA,2024,CA-057,Nevada,33784,26177,2183
CA,2024,CA-059,Orange,691731,654815,44761
CA,2024,CA-061,Placer,103958,123941,6972
CA,2024,CA-063,Plumas,4020,5725,325
CA,2024,CA-065,Riverside,451782,463677,25051
CA,2024,CA-067,Sacramento,381564,252140,23043
CA,2024,CA-069,San Benito,15179,11702,771
CA,2024,CA-071,San Bernardino,362114,378416,21316
CA,2024,CA-073,San Diego,841372,593270,43386
CA,2024,CA-075,San Francisco,323719,62594,16684
CA,2024,CA-077,San Joaquin,126647,128996,8066
CA,2024,CA-079,San Luis Obispo,81314,64932,4566
CA,2024,CA-081,San Mateo,242957,76616,10992
CA,2024,CA-083,Santa Barbara,114149,64870,5762
CA,2024,CA-085,Santa Clara,510744,210924,28938
CA,2024,CA-087,Santa Cruz,100998,27978,5179
CA,2024,CA-089,Shasta,27130,59539,2250
CA,2024,CA-091,Sierra,641,1066,48
CA,2024,CA-093,Siskiyou,8329,12461,708
CA,2024,CA-095,Solano,113997,70345,5541
CA,2024,CA-097,Sonoma,179600,63426,8439
CA,2024,CA-099,Stanislaus,85347,106986,5192
CA,2024,CA-101,Sutter,13016,25372,951
CA,2024,CA-103,Tehama,7415,18503,618
CA,2024,CA-105,Trinity,2449,2979,218
CA,2024,CA-107,Tulare,53221,81854,3234
CA,2024,CA-109,Tuolumne,10909,17210,697
CA,2024,CA-111,Ventura,217424,158901,11379
CA,2024,CA-113,Yolo,61405,27844,3372
CA,2024,CA-115,Yuba,10725,18491,856
