state,election_year,jurisdiction_code,jurisdiction_name,comparison_dem,comparison_rep,comparison_other
CA,2024,CA-001,Alameda,489039,147721,0
CA,2024,CA-003,Alpine,463,262,0
CA,2024,CA-005,Amador,7454,14534,0
CA,2024,CA-007,Butte,42417,49192,0
CA,2024,CA-009,Calaveras,8956,17109,0
CA,2024,CA-011,Colusa,2436,4471,0
CA,2024,CA-013,Contra Costa,343169,165245,0
CA,2024,CA-015,Del Norte,4217,6084,0
CA,2024,CA-017,El Dorado,45734,64663,0
CA,2024,CA-019,Fresno,148396,166675,0
CA,2024,CA-021,Glenn,3122,7114,0
CA,2024,CA-023,Humboldt,40240,22793,0
CA,2024,CA-025,Imperial,26441,26579,0
CA,2024,CA-027,Inyo,4134,4673,0
CA,2024,CA-029,Kern,107501,168458,0
CA,2024,CA-031,Kings,15225,25354,0
CA,2024,CA-033,Lake,12797,13401,0
CA,2024,CA-035,Lassen,2439,8691,0
CA,2024,CA-037,Los Angeles,2335222,1220750,0
CA,2024,CA-039,Madera,20538,32451,0
CA,2024,CA-041,Marin,112842,28490,0
CA,2024,CA-043,Mariposa,3582,5747,0
CA,2024,CA-045,Mendocino,24106,14182,0
CA,2024,CA-047,Merced,40394,43320,0
CA,2024,CA-049,Modoc,978,2951,0
CA,2024,CA-051,Mono,3384,2503,0
CA,2024,CA-053,Monterey,92302,51913,0
CA,2024,CA-055,Napa,42245,21986,0
CA,2024,CA-057,Nevada,33363,27987,0
CA,2024,CA-059,Orange,674882,688967,0
CA,2024,CA-061,Placer,98198,129981,0
CA,2024,CA-063,Plumas,3921,6034,0
CA,2024,CA-065,Riverside,443181,474241,0
CA,2024,CA-067,Sacramento,375265,263954,0
CA,2024,CA-069,San Benito,14991,12031,0
CA,2024,CA-071,San Bernardino,355667,384091,0
CA,2024,CA-073,San Diego,817805,625129,0
CA,2024,CA-075,San Francisco,310932,66421,0
CA,2024,CA-077,San Joaquin,127205,129064,0
CA,2024,CA-079,San Luis Obispo,77525,68569,0
CA,2024,CA-081,San Mateo,237186,84474,0
CA,2024,CA-083,Santa Barbara,110609,70126,0
CA,2024,CA-085,Santa Clara,498785,224597,0
CA,2024,CA-087,Santa Cruz,98631,30737,0
CA,2024,CA-089,Shasta,25996,61402,0
CA,2024,CA-091,Sierra,617,1110,0
CA,2024,CA-093,Siskiyou,8087,12958,0
CA,2024,CA-095,Solano,113204,72404,0
CA,2024,CA-097,Sonoma,176477,68712,0
CA,2024,CA-099,Stanislaus,86040,106444,0
CA,2024,CA-101,Sutter,12984,25129,0
CA,2024,CA-103,Tehama,7098,18632,0
CA,2024,CA-105,Trinity,2413,3148,0
CA,2024,CA-107,Tulare,51972,83439,0
CA,2024,CA-109,Tuolumne,10479,17372,0
CA,2024,CA-111,Ventura,211381,169660,0
CA,2024,CA-113,Yolo,61084,29758,0
CA,2024,CA-115,Yuba,10501,18711,0
