state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status,notes
CA,2024,,Alameda,Alameda,Alameda,county,683069,961304,71.06,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 1132323; precinct voters 87078; vote-by-mail voters 595991; eligible turnout 60.32%.
CA,2024,,Alpine,Alpine,Alpine,county,749,954,78.51,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 993; precinct voters 0; vote-by-mail voters 749; eligible turnout 75.43%.
CA,2024,,Amador,Amador,Amador,county,22762,26488,85.93,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 28571; precinct voters 2297; vote-by-mail voters 20465; eligible turnout 79.67%.
CA,2024,,Butte,Butte,Butte,county,96106,125088,76.83,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 169890; precinct voters 4014; vote-by-mail voters 92092; eligible turnout 56.57%.
CA,2024,,Calaveras,Calaveras,Calaveras,county,26885,33059,81.32,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 36435; precinct voters 4567; vote-by-mail voters 22318; eligible turnout 73.79%.
CA,2024,,Colusa,Colusa,Colusa,county,7122,10626,67.02,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 13123; precinct voters 0; vote-by-mail voters 7122; eligible turnout 54.27%.
CA,2024,,Contra Costa,Contra Costa,Contra Costa,county,539219,722861,74.60,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 799280; precinct voters 71384; vote-by-mail voters 467835; eligible turnout 67.46%.
CA,2024,,Del Norte,Del Norte,Del Norte,county,10676,15036,71.00,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 18059; precinct voters 1686; vote-by-mail voters 8990; eligible turnout 59.12%.
CA,2024,,El Dorado,El Dorado,El Dorado,county,114023,135300,84.27,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 144157; precinct voters 12521; vote-by-mail voters 101502; eligible turnout 79.10%.
CA,2024,,Fresno,Fresno,Fresno,county,330932,513799,64.41,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 649184; precinct voters 63049; vote-by-mail voters 267883; eligible turnout 50.98%.
