state,election_year,jurisdiction_code,jurisdiction_name,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
CA,2012,CA-001,Alameda,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,469684,108182,17776,595642,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-003,Alpine,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,389,236,28,653,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-005,Amador,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,6830,10281,538,17649,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-007,Butte,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,42669,44479,3604,90752,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-009,Calaveras,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,8670,12365,751,21786,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-011,Colusa,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,2314,3601,119,6034,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-013,Contra Costa,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,290824,136517,10885,438226,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-015,Del Norte,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,3791,4614,365,8770,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-017,El Dorado,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,35166,50973,2635,88774,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-019,Fresno,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,129129,124490,5208,258827,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-021,Glenn,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,3301,5632,278,9211,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-023,Humboldt,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,34457,18825,4188,57470,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-025,Imperial,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,25136,12777,652,38565,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-027,Inyo,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,3422,4340,274,8036,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-029,Kern,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,89495,126618,5359,221472,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-031,Kings,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,12979,17671,768,31418,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-033,Lake,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,13163,9200,1028,23391,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-035,Lassen,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,3053,7296,334,10683,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-037,Los Angeles,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,2216903,885333,78831,3181067,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-039,Madera,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,16018,22852,996,39866,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-041,Marin,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,99896,30880,3740,134516,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-043,Mariposa,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,3498,5140,362,9000,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-045,Mendocino,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,23193,9658,2166,35017,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
CA,2012,CA-047,Merced,ca-2012-general-president-sov,county,californiaSovCountyWorkbook,33005,27581,1471,62057,https://elections.cdn.sos.ca.gov/sov/2012-general/10-president.xls
