contest_id,election_id,election_date,election_type,primary_party,question_text,question_type,office_id,office_name,office_modifier,district_id,district_type,district_name,candidate_id,candidate_name,retention_candidate_id,retention_candidate_name,division_id,division_type,division_name,vote_channel,is_winner,number_seats,candidate_party_id,candidate_party_name,votes
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,386,Joseph R. Biden and Kamala D. Harris,,,84,County,Adams,,true,1,1,Democratic,134202
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,387,Donald J. Trump and Michael R. Pence,,,84,County,Adams,,false,1,2,Republican,95657
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,392,"Jo Jorgensen and Jeremy ""Spike"" Cohen",,,84,County,Adams,,false,1,4,Libertarian,3731
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,390,Howie Hawkins and Angela Nicole Walker,,,84,County,Adams,,false,1,3,Green,744
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,406,Kanye West and Michelle Tidball,,,84,County,Adams,,false,1,9,Unaffiliated,729
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,388,Don Blankenship and William Mohr,,,84,County,Adams,,false,1,10,American Constitution,455
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,821,Bill Hammons and Eric Bodenstab,,,84,County,Adams,,false,1,7,Unity Party of Colorado,264
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,393,Brian Carroll and Amar Patel,,,84,County,Adams,,false,1,11,American Solidarity,160
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,394,Mark Charles and Adrian Wallace,,,84,County,Adams,,false,1,9,Unaffiliated,197
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,402,Gloria La Riva and Sunil Freeman,,,84,County,Adams,,false,1,18,Socialism/Liberation,90
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,401,Kyle Kenley Kopitke and Nathan R. Sorenson,,,84,County,Adams,,false,1,17,Independent American,102
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,396,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",,,84,County,Adams,,false,1,13,Alliance,72
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,403,Joe McHugh and Elizabeth Storm,,,84,County,Adams,,false,1,9,Unaffiliated,60
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,404,Brock Pierce and Karla Ballard,,,84,County,Adams,,false,1,9,Unaffiliated,51
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,395,Phil Collins and Billy Joe Parker,,,84,County,Adams,,false,1,12,Prohibition,46
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,398,Princess Khadijah Maryam Jacob-Fambro and Khadijah Maryam Jacob Sr.,,,84,County,Adams,,false,1,9,Unaffiliated,40
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,397,Dario Hunter and Dawn Neptune Adams,,,84,County,Adams,,false,1,118,Progressive,38
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,391,Blake Huber and Frank Atwood,,,84,County,Adams,,false,1,8,Approval Voting,37
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,399,Alyson Kennedy and Malcolm Jarrett,,,84,County,Adams,,false,1,15,Socialist Workers,24
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,400,Joseph Kishore and Norissa Santa Cruz,,,84,County,Adams,,false,1,16,Socialist Equality,13
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,405,"Jordan ""Cancer"" Scott and Jennifer Tepool",,,84,County,Adams,,false,1,9,Unaffiliated,23
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,830,Tom Hoefling and Andy Prior,,,84,County,Adams,,false,1,21,Unaffiliated/No Party Affiliation,4
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,408,Todd Cella and Timothy Bryan Cella,,,84,County,Adams,,false,1,20,Independent,1
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,407,Kasey Wells and Rachel Wells,,,84,County,Adams,,false,1,19,No Party Affiliation,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,2,Total Votes Cast,,,84,County,Adams,,false,1,,,236740
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,1,Total Ballots Cast,,,84,County,Adams,,false,1,,,236740
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,386,Joseph R. Biden and Kamala D. Harris,,,7570,Precinct,4253001245,,false,1,1,Democratic,72
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,387,Donald J. Trump and Michael R. Pence,,,7570,Precinct,4253001245,,true,1,2,Republican,279
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,392,"Jo Jorgensen and Jeremy ""Spike"" Cohen",,,7570,Precinct,4253001245,,false,1,4,Libertarian,5
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,390,Howie Hawkins and Angela Nicole Walker,,,7570,Precinct,4253001245,,false,1,3,Green,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,406,Kanye West and Michelle Tidball,,,7570,Precinct,4253001245,,false,1,9,Unaffiliated,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,388,Don Blankenship and William Mohr,,,7570,Precinct,4253001245,,false,1,10,American Constitution,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,821,Bill Hammons and Eric Bodenstab,,,7570,Precinct,4253001245,,false,1,7,Unity Party of Colorado,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,393,Brian Carroll and Amar Patel,,,7570,Precinct,4253001245,,false,1,11,American Solidarity,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,394,Mark Charles and Adrian Wallace,,,7570,Precinct,4253001245,,false,1,9,Unaffiliated,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,402,Gloria La Riva and Sunil Freeman,,,7570,Precinct,4253001245,,false,1,18,Socialism/Liberation,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,401,Kyle Kenley Kopitke and Nathan R. Sorenson,,,7570,Precinct,4253001245,,false,1,17,Independent American,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,396,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",,,7570,Precinct,4253001245,,false,1,13,Alliance,1
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,403,Joe McHugh and Elizabeth Storm,,,7570,Precinct,4253001245,,false,1,9,Unaffiliated,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,404,Brock Pierce and Karla Ballard,,,7570,Precinct,4253001245,,false,1,9,Unaffiliated,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,395,Phil Collins and Billy Joe Parker,,,7570,Precinct,4253001245,,false,1,12,Prohibition,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,398,Princess Khadijah Maryam Jacob-Fambro and Khadijah Maryam Jacob Sr.,,,7570,Precinct,4253001245,,false,1,9,Unaffiliated,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,397,Dario Hunter and Dawn Neptune Adams,,,7570,Precinct,4253001245,,false,1,118,Progressive,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,391,Blake Huber and Frank Atwood,,,7570,Precinct,4253001245,,false,1,8,Approval Voting,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,399,Alyson Kennedy and Malcolm Jarrett,,,7570,Precinct,4253001245,,false,1,15,Socialist Workers,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,400,Joseph Kishore and Norissa Santa Cruz,,,7570,Precinct,4253001245,,false,1,16,Socialist Equality,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,405,"Jordan ""Cancer"" Scott and Jennifer Tepool",,,7570,Precinct,4253001245,,false,1,9,Unaffiliated,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,830,Tom Hoefling and Andy Prior,,,7570,Precinct,4253001245,,false,1,21,Unaffiliated/No Party Affiliation,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,408,Todd Cella and Timothy Bryan Cella,,,7570,Precinct,4253001245,,false,1,20,Independent,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,407,Kasey Wells and Rachel Wells,,,7570,Precinct,4253001245,,false,1,19,No Party Affiliation,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,2,Total Votes Cast,,,7570,Precinct,4253001245,,false,1,,,357
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,1,Total Ballots Cast,,,7570,Precinct,4253001245,,false,1,,,357
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,386,Joseph R. Biden and Kamala D. Harris,,,7571,Precinct,4255601241,,false,1,1,Democratic,9
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,387,Donald J. Trump and Michael R. Pence,,,7571,Precinct,4255601241,,true,1,2,Republican,31
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,392,"Jo Jorgensen and Jeremy ""Spike"" Cohen",,,7571,Precinct,4255601241,,false,1,4,Libertarian,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,390,Howie Hawkins and Angela Nicole Walker,,,7571,Precinct,4255601241,,false,1,3,Green,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,406,Kanye West and Michelle Tidball,,,7571,Precinct,4255601241,,false,1,9,Unaffiliated,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,388,Don Blankenship and William Mohr,,,7571,Precinct,4255601241,,false,1,10,American Constitution,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,821,Bill Hammons and Eric Bodenstab,,,7571,Precinct,4255601241,,false,1,7,Unity Party of Colorado,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,393,Brian Carroll and Amar Patel,,,7571,Precinct,4255601241,,false,1,11,American Solidarity,0
3640,11,2020-11-03T00:00:00Z,General,,,,102,President,,83,State,Colorado,394,Mark Charles and Adrian Wallace,,,7571,Precinct,4255601241,,false,1,9,Unaffiliated,0
