state,election_year,jurisdiction_name,jurisdiction_code,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_title,source_status,source_url,notes
CO,2024,Adams County,,Adams County,Adams County,county,236899,356527,66.4463,activePlusInactiveRegisteredVoters,historicalElectionData2024General,Colorado Historical Election Data 2024 General Voting Statistics Total Voters field; equals Active Voters plus Inactive Voters.,false,Colorado Historical Election Data 2024 General Voting Statistics CSV,official_state_native_turnout_replacement,https://historicalelectiondata.coloradosos.gov/search?,"Normalized from the official voter-statistics download with election_id 159, County rows, blank vote_channel total rows, and fields Active Voters, Inactive Voters, Total Voters, and Total Ballots Cast."
CO,2024,Alamosa County,,Alamosa County,Alamosa County,county,7671,11893,64.5001,activePlusInactiveRegisteredVoters,historicalElectionData2024General,Colorado Historical Election Data 2024 General Voting Statistics Total Voters field; equals Active Voters plus Inactive Voters.,false,Colorado Historical Election Data 2024 General Voting Statistics CSV,official_state_native_turnout_replacement,https://historicalelectiondata.coloradosos.gov/search?,"Normalized from the official voter-statistics download with election_id 159, County rows, blank vote_channel total rows, and fields Active Voters, Inactive Voters, Total Voters, and Total Ballots Cast."
CO,2024,Arapahoe County,,Arapahoe County,Arapahoe County,county,330745,482362,68.5678,activePlusInactiveRegisteredVoters,historicalElectionData2024General,Colorado Historical Election Data 2024 General Voting Statistics Total Voters field; equals Active Voters plus Inactive Voters.,false,Colorado Historical Election Data 2024 General Voting Statistics CSV,official_state_native_turnout_replacement,https://historicalelectiondata.coloradosos.gov/search?,"Normalized from the official voter-statistics download with election_id 159, County rows, blank vote_channel total rows, and fields Active Voters, Inactive Voters, Total Voters, and Total Ballots Cast."
CO,2024,Archuleta County,,Archuleta County,Archuleta County,county,9489,13578,69.8851,activePlusInactiveRegisteredVoters,historicalElectionData2024General,Colorado Historical Election Data 2024 General Voting Statistics Total Voters field; equals Active Voters plus Inactive Voters.,false,Colorado Historical Election Data 2024 General Voting Statistics CSV,official_state_native_turnout_replacement,https://historicalelectiondata.coloradosos.gov/search?,"Normalized from the official voter-statistics download with election_id 159, County rows, blank vote_channel total rows, and fields Active Voters, Inactive Voters, Total Voters, and Total Ballots Cast."
CO,2024,Baca County,,Baca County,Baca County,county,2034,2874,70.7724,activePlusInactiveRegisteredVoters,historicalElectionData2024General,Colorado Historical Election Data 2024 General Voting Statistics Total Voters field; equals Active Voters plus Inactive Voters.,false,Colorado Historical Election Data 2024 General Voting Statistics CSV,official_state_native_turnout_replacement,https://historicalelectiondata.coloradosos.gov/search?,"Normalized from the official voter-statistics download with election_id 159, County rows, blank vote_channel total rows, and fields Active Voters, Inactive Voters, Total Voters, and Total Ballots Cast."
CO,2024,Bent County,,Bent County,Bent County,county,2221,3483,63.7669,activePlusInactiveRegisteredVoters,historicalElectionData2024General,Colorado Historical Election Data 2024 General Voting Statistics Total Voters field; equals Active Voters plus Inactive Voters.,false,Colorado Historical Election Data 2024 General Voting Statistics CSV,official_state_native_turnout_replacement,https://historicalelectiondata.coloradosos.gov/search?,"Normalized from the official voter-statistics download with election_id 159, County rows, blank vote_channel total rows, and fields Active Voters, Inactive Voters, Total Voters, and Total Ballots Cast."
CO,2024,Boulder County,,Boulder County,Boulder County,county,198886,262877,75.6574,activePlusInactiveRegisteredVoters,historicalElectionData2024General,Colorado Historical Election Data 2024 General Voting Statistics Total Voters field; equals Active Voters plus Inactive Voters.,false,Colorado Historical Election Data 2024 General Voting Statistics CSV,official_state_native_turnout_replacement,https://historicalelectiondata.coloradosos.gov/search?,"Normalized from the official voter-statistics download with election_id 159, County rows, blank vote_channel total rows, and fields Active Voters, Inactive Voters, Total Voters, and Total Ballots Cast."
CO,2024,Broomfield County,,Broomfield County,Broomfield County,county,47545,62801,75.7074,activePlusInactiveRegisteredVoters,historicalElectionData2024General,Colorado Historical Election Data 2024 General Voting Statistics Total Voters field; equals Active Voters plus Inactive Voters.,false,Colorado Historical Election Data 2024 General Voting Statistics CSV,official_state_native_turnout_replacement,https://historicalelectiondata.coloradosos.gov/search?,"Normalized from the official voter-statistics download with election_id 159, County rows, blank vote_channel total rows, and fields Active Voters, Inactive Voters, Total Voters, and Total Ballots Cast."
CO,2024,Chaffee County,,Chaffee County,Chaffee County,county,14630,19042,76.8302,activePlusInactiveRegisteredVoters,historicalElectionData2024General,Colorado Historical Election Data 2024 General Voting Statistics Total Voters field; equals Active Voters plus Inactive Voters.,false,Colorado Historical Election Data 2024 General Voting Statistics CSV,official_state_native_turnout_replacement,https://historicalelectiondata.coloradosos.gov/search?,"Normalized from the official voter-statistics download with election_id 159, County rows, blank vote_channel total rows, and fields Active Voters, Inactive Voters, Total Voters, and Total Ballots Cast."
CO,2024,Cheyenne County,,Cheyenne County,Cheyenne County,county,1064,1379,77.1574,activePlusInactiveRegisteredVoters,historicalElectionData2024General,Colorado Historical Election Data 2024 General Voting Statistics Total Voters field; equals Active Voters plus Inactive Voters.,false,Colorado Historical Election Data 2024 General Voting Statistics CSV,official_state_native_turnout_replacement,https://historicalelectiondata.coloradosos.gov/search?,"Normalized from the official voter-statistics download with election_id 159, County rows, blank vote_channel total rows, and fields Active Voters, Inactive Voters, Total Voters, and Total Ballots Cast."
