town_id,town_name,planning_region_geoid,planning_region_name,jurisdiction_tag,harris_and_walz,trump_and_vance,stein_and_ware,oliver_and_ter_maat,kennedy_jr_and_shanahan,ayyadurai_and_ellis,de_la_cruz_and_garcia,fox_and_mcvay,mcneil_and_mcneil,potus_and_kennedy,sonski_and_onak,west_and_abdullah,other_votes,total_votes,ballot_page,write_in_page_1,write_in_page_2,source_id,source_url
1,Andover,09110,Capitol Planning Region,county:09110,1032,1035,9,6,12,0,0,0,0,0,0,0,27,2094,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
2,Ansonia,09140,Naugatuck Valley Planning Region,county:09140,3860,3838,59,19,34,0,1,0,0,0,0,0,113,7811,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
3,Ashford,09150,Northeastern Connecticut Planning Region,county:09150,1304,1182,18,15,13,0,0,0,0,0,0,0,46,2532,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
4,Avon,09110,Capitol Planning Region,county:09110,7012,4382,109,59,46,0,4,0,0,0,2,2,222,11616,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
5,Barkhamsted,09160,Northwest Hills Planning Region,county:09160,1127,1239,15,14,14,0,0,0,0,0,0,0,43,2409,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
6,Beacon Falls,09140,Naugatuck Valley Planning Region,county:09140,1533,2169,15,19,24,0,1,0,0,0,0,0,59,3761,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
7,Berlin,09110,Capitol Planning Region,county:09110,5559,6701,88,46,73,0,2,0,0,0,0,1,210,12470,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
8,Bethany,09170,South Central Connecticut Planning Region,county:09170,1788,1688,37,18,21,0,0,0,0,0,1,0,77,3553,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
9,Bethel,09190,Western Connecticut Planning Region,county:09190,5977,4950,76,44,57,0,2,0,0,0,4,1,184,11111,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
10,Bethlehem,09140,Naugatuck Valley Planning Region,county:09140,909,1436,16,5,5,0,1,0,0,0,0,0,27,2372,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
11,Bloomfield,09110,Capitol Planning Region,county:09110,10237,1854,67,25,34,0,0,0,0,0,0,0,126,12217,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
12,Bolton,09110,Capitol Planning Region,county:09110,1649,1459,22,21,16,0,3,0,0,0,0,0,62,3170,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
13,Bozrah,09180,Southeastern Connecticut Planning Region,county:09180,685,885,7,12,6,0,0,0,0,0,0,0,25,1595,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
14,Branford,09170,South Central Connecticut Planning Region,county:09170,9898,7251,124,78,74,0,1,0,0,0,3,2,282,17431,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
15,Bridgeport,09120,Greater Bridgeport Planning Region,county:09120,26992,9707,247,61,113,0,1,0,0,0,0,1,423,37122,11,19,27,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
