"State","PoliticalPartyName","KENT","NEW CASTLE","SUSSEX"
"DE","AMER DELTA",9,422,9
"DE","AMERICAN",132,312,130
"DE","BLUE ENIGMA",7,61,13
"DE","CONSERVATIVE",200,428,261
"DE","CONSTITUTION",79,112,47
"DE","DEMOCRATIC",58330,225905,70182
"DE","GREEN",128,535,149
"DE","IND PTY OF DE",2240,5864,3684
"DE","LIBERAL",172,466,151
"DE","LIBERTARIAN",417,1142,456
"DE","MANDALORIANS",22,65,23
"DE","NATURAL LAW",13,56,9
"DE","NO LABELS",417,1139,22
"DE","NO PARTY",39856,107974,51088
"DE","NO PARTY - AVR",617,4239,1409
"DE","NONPARTISAN",173,781,306
"DE","OTHER",175,808,57
"DE","REFORM",7,38,6
"DE","REPUBLICAN",40642,88140,80166
"DE","SOCIALST WR",21,109,11
"DE","WE THE PEOPLE",23,125,48
"DE","WORKING FAM",42,244,41
