geographyType,geoid,stateCode,stateName,districtCode,name,planEffectiveDate,areaSquareKilometers,perimeterKilometers,polsbyPopper,convexHullRatio,relativeCompactnessPercentile,relativeCompactnessBand,resolutionStability,resolutionPolsbyRelativeDifference,resolutionConvexHullRelativeDifference,vertexCount,generalizedVertexCount,partCount,holeCount,censusAreaRelativeDifference,sourceAuthority
congressional,0101,AL,Alabama,01,Congressional District 1,2024-01-01,21047.113,1316.978,0.152491,0.594834,15.91,lower_quartile,resolution_sensitive,0.26666,0.053744,16008,2225,1,0,0.000921,U.S. Census Bureau TIGERweb
congressional,0102,AL,Alabama,02,Congressional District 2,2024-01-01,24768.064,1484.893,0.14116,0.604734,12.95,lower_quartile,stable,0.026706,0.000111,17611,2504,1,0,0.000768,U.S. Census Bureau TIGERweb
congressional,0103,AL,Alabama,03,Congressional District 3,2024-01-01,17801.37,797.813,0.351448,0.807592,73.64,middle_or_higher,stable,0.018809,0.000115,8093,1030,1,0,0.000417,U.S. Census Bureau TIGERweb
congressional,0104,AL,Alabama,04,Congressional District 4,2024-01-01,22936.696,1207.955,0.197533,0.610679,28.64,middle_or_higher,stable,0.016889,0.000033,16238,1796,1,0,0.000264,U.S. Census Bureau TIGERweb
congressional,0105,AL,Alabama,05,Congressional District 5,2024-01-01,10534.054,577.302,0.39719,0.906021,82.05,middle_or_higher,stable,0.016977,0.000216,9034,784,2,0,0.000138,U.S. Census Bureau TIGERweb
congressional,0106,AL,Alabama,06,Congressional District 6,2024-01-01,11802.701,859.663,0.200694,0.705504,29.77,middle_or_higher,stable,0.018915,0.000039,10367,1726,1,0,0.000513,U.S. Census Bureau TIGERweb
congressional,0107,AL,Alabama,07,Congressional District 7,2024-01-01,26953.15,1281.142,0.20636,0.709117,31.14,middle_or_higher,stable,0.019568,0.000082,14024,2089,1,0,0.000609,U.S. Census Bureau TIGERweb
congressional,0200,AK,Alaska,00,Congressional District (at Large),2024-01-01,1713644.965,18100.482,0.065728,0.395583,0.91,lower_decile,resolution_sensitive,0.833578,0.107021,15279,109751,50,0,0.006133,U.S. Census Bureau TIGERweb
congressional,0401,AZ,Arizona,01,Congressional District 1,2024-01-01,4182.196,374.758,0.374208,0.841512,77.5,middle_or_higher,stable,0.019497,0.0001,4550,634,1,0,0.000354,U.S. Census Bureau TIGERweb
congressional,0402,AZ,Arizona,02,Congressional District 2,2024-01-01,151497.078,2523.987,0.298841,0.842227,63.18,middle_or_higher,stable,0.010069,0.000023,21492,2631,1,0,0.000044,U.S. Census Bureau TIGERweb
congressional,0403,AZ,Arizona,03,Congressional District 3,2024-01-01,534.97,131.123,0.391006,0.831367,79.77,middle_or_higher,stable,0.005675,0.000248,1488,247,1,0,0.000414,U.S. Census Bureau TIGERweb
congressional,0404,AZ,Arizona,04,Congressional District 4,2024-01-01,465.779,165.805,0.212909,0.649272,33.41,middle_or_higher,stable,0.01032,0.000192,1969,334,1,0,0.000422,U.S. Census Bureau TIGERweb
congressional,0405,AZ,Arizona,05,Congressional District 5,2024-01-01,1051.367,205.276,0.313537,0.730806,68.41,middle_or_higher,stable,0.004797,0.000081,1733,261,1,0,0.000443,U.S. Census Bureau TIGERweb
congressional,0406,AZ,Arizona,06,Congressional District 6,2024-01-01,35534.765,1409.637,0.224724,0.700853,35.68,middle_or_higher,stable,0.009741,0.000055,10906,1346,1,0,0.000639,U.S. Census Bureau TIGERweb
congressional,0407,AZ,Arizona,07,Congressional District 7,2024-01-01,39971.449,1677.173,0.178568,0.688145,23.86,lower_quartile,stable,0.005339,0.000159,11703,1312,1,0,0.000662,U.S. Census Bureau TIGERweb
