state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
AL,2024,0100100000,AUTAUGA COUNTY,,AUTAUGA COUNTY,jurisdiction,28388,46292,61.3238,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0100300000,BALDWIN COUNTY,,BALDWIN COUNTY,jurisdiction,122542,207668,59.0086,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0100500000,BARBOUR COUNTY,,BARBOUR COUNTY,jurisdiction,9919,17656,56.1792,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0100700000,BIBB COUNTY,,BIBB COUNTY,jurisdiction,9278,15154,61.2248,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0100900000,BLOUNT COUNTY,,BLOUNT COUNTY,jurisdiction,28138,43590,64.5515,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0101100000,BULLOCK COUNTY,,BULLOCK COUNTY,jurisdiction,4144,7181,57.7078,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0101300000,BUTLER COUNTY,,BUTLER COUNTY,jurisdiction,8530,14526,58.7223,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0101500000,CALHOUN COUNTY,,CALHOUN COUNTY,jurisdiction,48819,84073,58.0674,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0101700000,CHAMBERS COUNTY,,CHAMBERS COUNTY,jurisdiction,14380,26799,53.6587,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0101900000,CHEROKEE COUNTY,,CHEROKEE COUNTY,jurisdiction,13030,21374,60.9619,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0102100000,CHILTON COUNTY,,CHILTON COUNTY,jurisdiction,19824,31677,62.5817,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0102300000,CHOCTAW COUNTY,,CHOCTAW COUNTY,jurisdiction,6692,10766,62.1586,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0102500000,CLARKE COUNTY,,CLARKE COUNTY,jurisdiction,11993,19143,62.6495,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0102700000,CLAY COUNTY,,CLAY COUNTY,jurisdiction,6759,10603,63.7461,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0102900000,CLEBURNE COUNTY,,CLEBURNE COUNTY,jurisdiction,7860,12193,64.4632,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0103100000,COFFEE COUNTY,,COFFEE COUNTY,jurisdiction,22367,39774,56.2352,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0103300000,COLBERT COUNTY,,COLBERT COUNTY,jurisdiction,27239,45322,60.1011,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
AL,2024,0103500000,CONECUH COUNTY,,CONECUH COUNTY,jurisdiction,6105,9820,62.1690,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
