state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
CA,2024,0600300000,ALPINE COUNTY,,ALPINE COUNTY,jurisdiction,749,1181,63.4208,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CA,2024,0600500000,AMADOR COUNTY,,AMADOR COUNTY,jurisdiction,22739,28344,80.2251,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CA,2024,0600700000,BUTTE COUNTY,,BUTTE COUNTY,jurisdiction,96106,152776,62.9065,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CA,2024,0601100000,COLUSA COUNTY,,COLUSA COUNTY,jurisdiction,7193,11198,64.2347,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CA,2024,0601300000,CONTRA COSTA COUNTY,,CONTRA COSTA COUNTY,jurisdiction,539459,789340,68.3430,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CA,2024,0601500000,DEL NORTE COUNTY,,DEL NORTE COUNTY,jurisdiction,10647,19469,54.6869,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CA,2024,0601700000,EL DORADO COUNTY,,EL DORADO COUNTY,jurisdiction,114003,149281,76.3681,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CA,2024,0601900000,FRESNO COUNTY,,FRESNO COUNTY,jurisdiction,329272,613741,53.6500,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CA,2024,0602100000,GLENN COUNTY,,GLENN COUNTY,jurisdiction,10553,15969,66.0843,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CA,2024,0602300000,HUMBOLDT COUNTY,,HUMBOLDT COUNTY,jurisdiction,65187,102109,63.8406,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CA,2024,0602500000,IMPERIAL COUNTY,,IMPERIAL COUNTY,jurisdiction,53929,119053,45.2983,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CA,2024,0602700000,INYO COUNTY,,INYO COUNTY,jurisdiction,9096,12445,73.0896,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
