state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
CO,2024,0800100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,236377,356527,66.2999,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0800300000,ALAMOSA COUNTY,,ALAMOSA COUNTY,jurisdiction,7674,11893,64.5254,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0800500000,ARAPAHOE COUNTY,,ARAPAHOE COUNTY,jurisdiction,330977,482362,68.6159,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0800700000,ARCHULETA COUNTY,,ARCHULETA COUNTY,jurisdiction,9489,13578,69.8851,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0800900000,BACA COUNTY,,BACA COUNTY,jurisdiction,2034,2874,70.7724,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0801100000,BENT COUNTY,,BENT COUNTY,jurisdiction,2221,3483,63.7669,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0801300000,BOULDER COUNTY,,BOULDER COUNTY,jurisdiction,198885,262877,75.6571,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0801400000,BROOMFIELD COUNTY,,BROOMFIELD COUNTY,jurisdiction,47545,62801,75.7074,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0801500000,CHAFFEE COUNTY,,CHAFFEE COUNTY,jurisdiction,14628,19042,76.8197,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0801700000,CHEYENNE COUNTY,,CHEYENNE COUNTY,jurisdiction,1064,1379,77.1574,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0801900000,CLEAR CREEK COUNTY,,CLEAR CREEK COUNTY,jurisdiction,6181,8636,71.5725,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0802100000,CONEJOS COUNTY,,CONEJOS COUNTY,jurisdiction,4196,5901,71.1066,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0802300000,COSTILLA COUNTY,,COSTILLA COUNTY,jurisdiction,2149,3450,62.2899,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0802500000,CROWLEY COUNTY,,CROWLEY COUNTY,jurisdiction,1729,2543,67.9906,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0802700000,CUSTER COUNTY,,CUSTER COUNTY,jurisdiction,3932,5178,75.9367,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0802900000,DELTA COUNTY,,DELTA COUNTY,jurisdiction,19744,26228,75.2783,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0803100000,DENVER COUNTY,,DENVER COUNTY,jurisdiction,369373,561253,65.8122,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0803300000,DOLORES COUNTY,,DOLORES COUNTY,jurisdiction,1429,1842,77.5787,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CO,2024,0803500000,DOUGLAS COUNTY,,DOUGLAS COUNTY,jurisdiction,248052,315901,78.5221,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
