state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
CT,2024,0900104720,BETHEL TOWN,,BETHEL TOWN,jurisdiction,11116,14521,76.5512,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900108070,BRIDGEPORT TOWN,,BRIDGEPORT TOWN,jurisdiction,38093,82917,45.9411,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900108980,BROOKFIELD TOWN,,BROOKFIELD TOWN,jurisdiction,10771,14260,75.5330,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900118500,DANBURY TOWN,,DANBURY TOWN,jurisdiction,31188,47687,65.4015,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900118850,DARIEN TOWN,,DARIEN TOWN,jurisdiction,12674,16261,77.9411,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900123890,EASTON TOWN,,EASTON TOWN,jurisdiction,4965,6181,80.3268,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900126620,FAIRFIELD TOWN,,FAIRFIELD TOWN,jurisdiction,35380,46652,75.8381,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900133620,GREENWICH TOWN,,GREENWICH TOWN,jurisdiction,34972,46754,74.8000,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900148620,MONROE TOWN,,MONROE TOWN,jurisdiction,11620,14610,79.5346,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900150580,NEW CANAAN TOWN,,NEW CANAAN TOWN,jurisdiction,12148,16266,74.6834,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900150860,NEW FAIRFIELD TOWN,,NEW FAIRFIELD TOWN,jurisdiction,8366,11030,75.8477,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900152980,NEWTOWN TOWN,,NEWTOWN TOWN,jurisdiction,17631,20996,83.9731,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900156060,NORWALK TOWN,,NORWALK TOWN,jurisdiction,42844,65252,65.6593,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900163480,REDDING TOWN,,REDDING TOWN,jurisdiction,5785,7479,77.3499,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900163970,RIDGEFIELD TOWN,,RIDGEFIELD TOWN,jurisdiction,15736,21536,73.0684,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
CT,2024,0900168170,SHELTON TOWN,,SHELTON TOWN,jurisdiction,23987,31824,75.3739,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
