state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
FL,2024,1200100000,ALACHUA COUNTY,,ALACHUA COUNTY,jurisdiction,138262,197100,70.1481,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
FL,2024,1200300000,BAKER COUNTY,,BAKER COUNTY,jurisdiction,15054,19372,77.7101,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
FL,2024,1200500000,BAY COUNTY,,BAY COUNTY,jurisdiction,98671,138746,71.1163,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
FL,2024,1200700000,BRADFORD COUNTY,,BRADFORD COUNTY,jurisdiction,14017,18964,73.9137,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
FL,2024,1200900000,BREVARD COUNTY,,BREVARD COUNTY,jurisdiction,365645,491096,74.4549,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
FL,2024,1201100000,BROWARD COUNTY,,BROWARD COUNTY,jurisdiction,882481,1309269,67.4026,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
FL,2024,1201300000,CALHOUN COUNTY,,CALHOUN COUNTY,jurisdiction,6474,8980,72.0935,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
FL,2024,1201500000,CHARLOTTE COUNTY,,CHARLOTTE COUNTY,jurisdiction,124838,173983,71.7530,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
FL,2024,1201700000,CITRUS COUNTY,,CITRUS COUNTY,jurisdiction,98995,136898,72.3130,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
FL,2024,1201900000,CLAY COUNTY,,CLAY COUNTY,jurisdiction,129755,176617,73.4669,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
