state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
GA,2024,1300100000,APPLING COUNTY,,APPLING COUNTY,jurisdiction,8373,12620,66.3471,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1300300000,ATKINSON COUNTY,,ATKINSON COUNTY,jurisdiction,3067,5068,60.5170,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1300500000,BACON COUNTY,,BACON COUNTY,jurisdiction,4862,7206,67.4716,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1300700000,BAKER COUNTY,,BAKER COUNTY,jurisdiction,1486,2259,65.7813,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1300900000,BALDWIN COUNTY,,BALDWIN COUNTY,jurisdiction,18966,29195,64.9632,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1301100000,BANKS COUNTY,,BANKS COUNTY,jurisdiction,10568,15335,68.9142,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1301300000,BARROW COUNTY,,BARROW COUNTY,jurisdiction,44232,67800,65.2389,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1301500000,BARTOW COUNTY,,BARTOW COUNTY,jurisdiction,57892,89256,64.8606,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1301700000,BEN HILL COUNTY,,BEN HILL COUNTY,jurisdiction,6556,11243,58.3118,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1301900000,BERRIEN COUNTY,,BERRIEN COUNTY,jurisdiction,8092,12986,62.3133,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1302100000,BIBB COUNTY,,BIBB COUNTY,jurisdiction,69808,117842,59.2386,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1302300000,BLECKLEY COUNTY,,BLECKLEY COUNTY,jurisdiction,6081,8551,71.1145,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1302500000,BRANTLEY COUNTY,,BRANTLEY COUNTY,jurisdiction,8521,12913,65.9878,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1302700000,BROOKS COUNTY,,BROOKS COUNTY,jurisdiction,7251,12057,60.1393,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1302900000,BRYAN COUNTY,,BRYAN COUNTY,jurisdiction,24818,38708,64.1159,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1303100000,BULLOCH COUNTY,,BULLOCH COUNTY,jurisdiction,32871,53364,61.5977,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1303300000,BURKE COUNTY,,BURKE COUNTY,jurisdiction,11159,18292,61.0048,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1303500000,BUTTS COUNTY,,BUTTS COUNTY,jurisdiction,13108,19622,66.8026,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1303700000,CALHOUN COUNTY,,CALHOUN COUNTY,jurisdiction,2065,3207,64.3904,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1303900000,CAMDEN COUNTY,,CAMDEN COUNTY,jurisdiction,26597,44519,59.7430,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1304300000,CANDLER COUNTY,,CANDLER COUNTY,jurisdiction,4594,7262,63.2608,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1304500000,CARROLL COUNTY,,CARROLL COUNTY,jurisdiction,60877,96814,62.8804,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1304700000,CATOOSA COUNTY,,CATOOSA COUNTY,jurisdiction,35236,52719,66.8374,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1304900000,CHARLTON COUNTY,,CHARLTON COUNTY,jurisdiction,4651,7444,62.4798,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1305100000,CHATHAM COUNTY,,CHATHAM COUNTY,jurisdiction,142422,238166,59.7995,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1305300000,CHATTAHOOCHEE COUNTY,,CHATTAHOOCHEE COUNTY,jurisdiction,1702,5243,32.4623,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1305500000,CHATTOOGA COUNTY,,CHATTOOGA COUNTY,jurisdiction,10758,16311,65.9555,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1305700000,CHEROKEE COUNTY,,CHEROKEE COUNTY,jurisdiction,163446,222547,73.4434,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1305900000,CLARKE COUNTY,,CLARKE COUNTY,jurisdiction,53481,86254,62.0041,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1306100000,CLAY COUNTY,,CLAY COUNTY,jurisdiction,1448,2233,64.8455,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1306300000,CLAYTON COUNTY,,CLAYTON COUNTY,jurisdiction,113173,216028,52.3881,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1306500000,CLINCH COUNTY,,CLINCH COUNTY,jurisdiction,2924,4545,64.3344,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1306700000,COBB COUNTY,,COBB COUNTY,jurisdiction,406257,590116,68.8436,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1306900000,COFFEE COUNTY,,COFFEE COUNTY,jurisdiction,15811,27381,57.7444,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1307100000,COLQUITT COUNTY,,COLQUITT COUNTY,jurisdiction,16684,28519,58.5013,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1307300000,COLUMBIA COUNTY,,COLUMBIA COUNTY,jurisdiction,86605,127795,67.7687,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1307500000,COOK COUNTY,,COOK COUNTY,jurisdiction,7398,12082,61.2316,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1307700000,COWETA COUNTY,,COWETA COUNTY,jurisdiction,86576,121202,71.4312,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1307900000,CRAWFORD COUNTY,,CRAWFORD COUNTY,jurisdiction,6374,9329,68.3246,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1308100000,CRISP COUNTY,,CRISP COUNTY,jurisdiction,8166,14029,58.2080,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1308300000,DADE COUNTY,,DADE COUNTY,jurisdiction,8258,14500,56.9517,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1308500000,DAWSON COUNTY,,DAWSON COUNTY,jurisdiction,19667,26837,73.2832,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1308700000,DECATUR COUNTY,,DECATUR COUNTY,jurisdiction,11617,18897,61.4754,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
GA,2024,1308900000,DEKALB COUNTY,,DEKALB COUNTY,jurisdiction,370440,588786,62.9159,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
