state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
IA,2024,1900100000,ADAIR COUNTY,,ADAIR COUNTY,jurisdiction,4104,5423,75.6777,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1900300000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,2153,2856,75.3852,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1900500000,ALLAMAKEE COUNTY,,ALLAMAKEE COUNTY,jurisdiction,7410,10077,73.5338,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1900700000,APPANOOSE COUNTY,,APPANOOSE COUNTY,jurisdiction,6535,8931,73.1721,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1900900000,AUDUBON COUNTY,,AUDUBON COUNTY,jurisdiction,3286,4206,78.1265,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1901100000,BENTON COUNTY,,BENTON COUNTY,jurisdiction,14593,18773,77.7340,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1901300000,BLACK HAWK COUNTY,,BLACK HAWK COUNTY,jurisdiction,63279,86676,73.0064,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1901500000,BOONE COUNTY,,BOONE COUNTY,jurisdiction,15520,20406,76.0561,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1901700000,BREMER COUNTY,,BREMER COUNTY,jurisdiction,14673,18377,79.8444,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1901900000,BUCHANAN COUNTY,,BUCHANAN COUNTY,jurisdiction,10856,14204,76.4292,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1902100000,BUENA VISTA COUNTY,,BUENA VISTA COUNTY,jurisdiction,7593,12067,62.9237,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1902300000,BUTLER COUNTY,,BUTLER COUNTY,jurisdiction,8102,10265,78.9284,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1902500000,CALHOUN COUNTY,,CALHOUN COUNTY,jurisdiction,5121,6736,76.0243,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1902700000,CARROLL COUNTY,,CARROLL COUNTY,jurisdiction,11209,15022,74.6172,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1902900000,CASS COUNTY,,CASS COUNTY,jurisdiction,7292,9655,75.5256,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IA,2024,1903100000,CEDAR COUNTY,,CEDAR COUNTY,jurisdiction,10709,13358,80.1692,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
