state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
IL,2024,1700100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,32031,49421,64.8125,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IL,2024,1700300000,ALEXANDER COUNTY,,ALEXANDER COUNTY,jurisdiction,2291,4898,46.7742,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IL,2024,1700500000,BOND COUNTY,,BOND COUNTY,jurisdiction,8087,10761,75.1510,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IL,2024,1700700000,BOONE COUNTY,,BOONE COUNTY,jurisdiction,24421,48465,50.3889,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IL,2024,1700900000,BROWN COUNTY,,BROWN COUNTY,jurisdiction,2487,3274,75.9621,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IL,2024,1701100000,BUREAU COUNTY,,BUREAU COUNTY,jurisdiction,16197,24318,66.6050,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IL,2024,1701300000,CALHOUN COUNTY,,CALHOUN COUNTY,jurisdiction,2704,3383,79.9291,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IL,2024,1701500000,CARROLL COUNTY,,CARROLL COUNTY,jurisdiction,7922,11356,69.7605,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IL,2024,1701700000,CASS COUNTY,,CASS COUNTY,jurisdiction,5286,7773,68.0046,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IL,2024,1701900000,CHAMPAIGN COUNTY,,CHAMPAIGN COUNTY,jurisdiction,91038,147282,61.8120,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
