state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
IN,2024,1800100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,14037,19937,70.4068,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1800300000,ALLEN COUNTY,,ALLEN COUNTY,jurisdiction,165941,285028,58.2192,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1800500000,BARTHOLOMEW COUNTY,,BARTHOLOMEW COUNTY,jurisdiction,35971,54086,66.5070,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1800700000,BENTON COUNTY,,BENTON COUNTY,jurisdiction,4001,6021,66.4508,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1800900000,BLACKFORD COUNTY,,BLACKFORD COUNTY,jurisdiction,5200,8467,61.4149,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1801100000,BOONE COUNTY,,BOONE COUNTY,jurisdiction,40986,62050,66.0532,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1801300000,BROWN COUNTY,,BROWN COUNTY,jurisdiction,9205,13547,67.9486,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1801500000,CARROLL COUNTY,,CARROLL COUNTY,jurisdiction,9482,14904,63.6205,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1801700000,CASS COUNTY,,CASS COUNTY,jurisdiction,14320,22677,63.1477,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1801900000,CLARK COUNTY,,CLARK COUNTY,jurisdiction,59403,96262,61.7097,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1802100000,CLAY COUNTY,,CLAY COUNTY,jurisdiction,12163,18820,64.6281,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1802300000,CLINTON COUNTY,,CLINTON COUNTY,jurisdiction,12675,20350,62.2850,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1802500000,CRAWFORD COUNTY,,CRAWFORD COUNTY,jurisdiction,5064,7921,63.9313,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1802700000,DAVIESS COUNTY,,DAVIESS COUNTY,jurisdiction,11556,17558,65.8162,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1802900000,DEARBORN COUNTY,,DEARBORN COUNTY,jurisdiction,27017,40526,66.6658,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1803100000,DECATUR COUNTY,,DECATUR COUNTY,jurisdiction,12220,17631,69.3097,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1803300000,DEKALB COUNTY,,DEKALB COUNTY,jurisdiction,20071,29972,66.9658,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1803500000,DELAWARE COUNTY,,DELAWARE COUNTY,jurisdiction,46609,76461,60.9579,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1803700000,DUBOIS COUNTY,,DUBOIS COUNTY,jurisdiction,21700,30676,70.7393,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1803900000,ELKHART COUNTY,,ELKHART COUNTY,jurisdiction,71415,126874,56.2881,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1804100000,FAYETTE COUNTY,,FAYETTE COUNTY,jurisdiction,9951,17160,57.9895,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1804300000,FLOYD COUNTY,,FLOYD COUNTY,jurisdiction,41948,62971,66.6148,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1804500000,FOUNTAIN COUNTY,,FOUNTAIN COUNTY,jurisdiction,8076,12418,65.0346,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1804700000,FRANKLIN COUNTY,,FRANKLIN COUNTY,jurisdiction,12209,17919,68.1344,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1804900000,FULTON COUNTY,,FULTON COUNTY,jurisdiction,8968,13238,67.7444,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1805100000,GIBSON COUNTY,,GIBSON COUNTY,jurisdiction,15980,23623,67.6459,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1805300000,GRANT COUNTY,,GRANT COUNTY,jurisdiction,25515,43644,58.4616,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
IN,2024,1805500000,GREENE COUNTY,,GREENE COUNTY,jurisdiction,14839,22037,67.3368,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
