state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
KS,2024,2000100000,ALLEN COUNTY,,ALLEN COUNTY,jurisdiction,5648,8937,63.1979,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KS,2024,2000300000,ANDERSON COUNTY,,ANDERSON COUNTY,jurisdiction,3843,5767,66.6378,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KS,2024,2000500000,ATCHISON COUNTY,,ATCHISON COUNTY,jurisdiction,7400,11945,61.9506,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KS,2024,2000700000,BARBER COUNTY,,BARBER COUNTY,jurisdiction,2184,2987,73.1168,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KS,2024,2000900000,BARTON COUNTY,,BARTON COUNTY,jurisdiction,10684,16860,63.3689,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KS,2024,2001100000,BOURBON COUNTY,,BOURBON COUNTY,jurisdiction,6588,12662,52.0297,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KS,2024,2001300000,BROWN COUNTY,,BROWN COUNTY,jurisdiction,4301,6686,64.3284,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KS,2024,2001500000,BUTLER COUNTY,,BUTLER COUNTY,jurisdiction,32547,48893,66.5678,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KS,2024,2001700000,CHASE COUNTY,,CHASE COUNTY,jurisdiction,1475,1872,78.7927,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KS,2024,2001900000,CHAUTAUQUA COUNTY,,CHAUTAUQUA COUNTY,jurisdiction,1543,2574,59.9456,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
