state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
KY,2024,2100100000,ADAIR COUNTY,,ADAIR COUNTY,jurisdiction,9051,14183,63.8158,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KY,2024,2100300000,ALLEN COUNTY,,ALLEN COUNTY,jurisdiction,9455,15588,60.6556,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KY,2024,2100500000,ANDERSON COUNTY,,ANDERSON COUNTY,jurisdiction,13198,19152,68.9119,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KY,2024,2100700000,BALLARD COUNTY,,BALLARD COUNTY,jurisdiction,4109,6324,64.9747,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KY,2024,2100900000,BARREN COUNTY,,BARREN COUNTY,jurisdiction,19973,32616,61.2368,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KY,2024,2101100000,BATH COUNTY,,BATH COUNTY,jurisdiction,5441,9494,57.3099,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KY,2024,2101300000,BELL COUNTY,,BELL COUNTY,jurisdiction,9422,19570,48.1451,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KY,2024,2101500000,BOONE COUNTY,,BOONE COUNTY,jurisdiction,67907,115023,59.0378,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KY,2024,2101700000,BOURBON COUNTY,,BOURBON COUNTY,jurisdiction,9598,15048,63.7826,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KY,2024,2101900000,BOYD COUNTY,,BOYD COUNTY,jurisdiction,21157,40224,52.5980,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KY,2024,2102100000,BOYLE COUNTY,,BOYLE COUNTY,jurisdiction,14508,23258,62.3785,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
KY,2024,2102300000,BRACKEN COUNTY,,BRACKEN COUNTY,jurisdiction,4179,6678,62.5786,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
