state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
LA,2024,2200100000,ACADIA PARISH,,ACADIA PARISH,jurisdiction,26855,39373,68.2066,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
LA,2024,2200300000,ALLEN PARISH,,ALLEN PARISH,jurisdiction,8804,12736,69.1269,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
LA,2024,2200500000,ASCENSION PARISH,,ASCENSION PARISH,jurisdiction,62852,86371,72.7698,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
LA,2024,2200700000,ASSUMPTION PARISH,,ASSUMPTION PARISH,jurisdiction,10432,14494,71.9746,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
LA,2024,2200900000,AVOYELLES PARISH,,AVOYELLES PARISH,jurisdiction,16212,23919,67.7788,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
LA,2024,2201100000,BEAUREGARD PARISH,,BEAUREGARD PARISH,jurisdiction,15952,23590,67.6219,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
LA,2024,2201300000,BIENVILLE PARISH,,BIENVILLE PARISH,jurisdiction,6298,8964,70.2588,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
LA,2024,2201500000,BOSSIER PARISH,,BOSSIER PARISH,jurisdiction,52549,77986,67.3826,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
LA,2024,2201700000,CADDO PARISH,,CADDO PARISH,jurisdiction,95397,157242,60.6689,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
LA,2024,2201900000,CALCASIEU PARISH,,CALCASIEU PARISH,jurisdiction,81610,128678,63.4219,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
LA,2024,2202100000,CALDWELL PARISH,,CALDWELL PARISH,jurisdiction,4366,6111,71.4449,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
LA,2024,2202300000,CAMERON PARISH,,CAMERON PARISH,jurisdiction,3376,4641,72.7429,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
LA,2024,2202500000,CATAHOULA PARISH,,CATAHOULA PARISH,jurisdiction,4367,6318,69.1200,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
