state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
MD,2024,2400100000,ALLEGANY COUNTY,,ALLEGANY COUNTY,jurisdiction,32356,47655,67.8963,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MD,2024,2400300000,ANNE ARUNDEL COUNTY,,ANNE ARUNDEL COUNTY,jurisdiction,311741,451903,68.9841,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MD,2024,2400500000,BALTIMORE COUNTY,,BALTIMORE COUNTY,jurisdiction,413582,610028,67.7972,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MD,2024,2400900000,CALVERT COUNTY,,CALVERT COUNTY,jurisdiction,54144,76072,71.1747,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MD,2024,2401100000,CAROLINE COUNTY,,CAROLINE COUNTY,jurisdiction,16220,23616,68.6822,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MD,2024,2401300000,CARROLL COUNTY,,CARROLL COUNTY,jurisdiction,102920,137183,75.0239,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MD,2024,2401500000,CECIL COUNTY,,CECIL COUNTY,jurisdiction,52695,78120,67.4539,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MD,2024,2401700000,CHARLES COUNTY,,CHARLES COUNTY,jurisdiction,81871,135853,60.2644,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MD,2024,2401900000,DORCHESTER COUNTY,,DORCHESTER COUNTY,jurisdiction,16796,24992,67.2055,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MD,2024,2402100000,FREDERICK COUNTY,,FREDERICK COUNTY,jurisdiction,156125,221122,70.6058,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MD,2024,2402300000,GARRETT COUNTY,,GARRETT COUNTY,jurisdiction,15850,22189,71.4318,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MD,2024,2402500000,HARFORD COUNTY,,HARFORD COUNTY,jurisdiction,150083,208581,71.9543,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
