state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
ME,2024,23,UOCAVA-ME,,UOCAVA-ME,jurisdiction,6589,-99,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300102060,AUBURN,,AUBURN,jurisdiction,12531,18343,68.3149,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300119105,DURHAM,,DURHAM,jurisdiction,3005,4099,73.3106,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300129255,GREENE,,GREENE,jurisdiction,2696,3659,73.6813,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300138565,LEEDS,,LEEDS,jurisdiction,1451,1992,72.8414,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300138740,LEWISTON,,LEWISTON,jurisdiction,16850,31803,52.9824,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300140035,LISBON,,LISBON,jurisdiction,5194,7729,67.2014,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300140665,LIVERMORE,,LIVERMORE,jurisdiction,1441,2094,68.8157,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300140770,LIVERMORE FALLS,,LIVERMORE FALLS,jurisdiction,1442,2215,65.1016,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300144585,MECHANIC FALLS,,MECHANIC FALLS,jurisdiction,1817,2489,73.0012,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300146160,MINOT,,MINOT,jurisdiction,1867,2315,80.6479,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300160020,POLAND,,POLAND,jurisdiction,3600,4941,72.8597,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300164570,SABATTUS,,SABATTUS,jurisdiction,3063,4426,69.2047,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300177800,TURNER,,TURNER,jurisdiction,3671,5153,71.2401,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300179585,WALES,,WALES,jurisdiction,987,1218,81.0345,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300300800,ALLAGASH,,ALLAGASH,jurisdiction,154,251,61.3546,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ME,2024,2300301220,AMITY,,AMITY,jurisdiction,160,202,79.2079,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
