state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
MO,2024,2900100000,ADAIR COUNTY,,ADAIR COUNTY,jurisdiction,10361,14508,71.4158,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MO,2024,2900300000,ANDREW COUNTY,,ANDREW COUNTY,jurisdiction,9933,13183,75.3470,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MO,2024,2900500000,ATCHISON COUNTY,,ATCHISON COUNTY,jurisdiction,3135,3846,81.5133,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MO,2024,2900700000,AUDRAIN COUNTY,,AUDRAIN COUNTY,jurisdiction,13213,15512,85.1792,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MO,2024,2900900000,BARRY COUNTY,,BARRY COUNTY,jurisdiction,16311,23848,68.3957,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MO,2024,2901100000,BARTON COUNTY,,BARTON COUNTY,jurisdiction,6047,8970,67.4136,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MO,2024,2901300000,BATES COUNTY,,BATES COUNTY,jurisdiction,10048,12069,83.2546,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MO,2024,2901500000,BENTON COUNTY,,BENTON COUNTY,jurisdiction,10888,15709,69.3106,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MO,2024,2901700000,BOLLINGER COUNTY,,BOLLINGER COUNTY,jurisdiction,6210,8722,71.1993,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MO,2024,2901900000,BOONE COUNTY,,BOONE COUNTY,jurisdiction,91267,124545,73.2803,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
