state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
MS,2024,2800100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,11928,20034,59.5388,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2800300000,ALCORN COUNTY,,ALCORN COUNTY,jurisdiction,15112,26431,57.1753,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2800500000,AMITE COUNTY,,AMITE COUNTY,jurisdiction,6815,10344,65.8836,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2800700000,ATTALA COUNTY,,ATTALA COUNTY,jurisdiction,7703,12389,62.1761,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2800900000,BENTON COUNTY,,BENTON COUNTY,jurisdiction,3880,6163,62.9564,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2801100000,BOLIVAR COUNTY,,BOLIVAR COUNTY,jurisdiction,10435,20245,51.5436,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2801300000,CALHOUN COUNTY,,CALHOUN COUNTY,jurisdiction,6034,9420,64.0552,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2801500000,CARROLL COUNTY,,CARROLL COUNTY,jurisdiction,5194,7603,68.3151,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2801700000,CHICKASAW COUNTY,,CHICKASAW COUNTY,jurisdiction,7234,11997,60.2984,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2801900000,CHOCTAW COUNTY,,CHOCTAW COUNTY,jurisdiction,3890,5392,72.1439,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2802100000,CLAIBORNE COUNTY,,CLAIBORNE COUNTY,jurisdiction,3541,6919,51.1779,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2802300000,CLARKE COUNTY,,CLARKE COUNTY,jurisdiction,7571,11943,63.3928,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2802500000,CLAY COUNTY,,CLAY COUNTY,jurisdiction,9057,14299,63.3401,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2802700000,COAHOMA COUNTY,,COAHOMA COUNTY,jurisdiction,6790,15358,44.2115,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2802900000,COPIAH COUNTY,,COPIAH COUNTY,jurisdiction,11665,20098,58.0406,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2803100000,COVINGTON COUNTY,,COVINGTON COUNTY,jurisdiction,8861,14873,59.5778,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2803300000,DESOTO COUNTY,,DESOTO COUNTY,jurisdiction,79082,142945,55.3234,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2803500000,FORREST COUNTY,,FORREST COUNTY,jurisdiction,28466,52345,54.3815,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2803700000,FRANKLIN COUNTY,,FRANKLIN COUNTY,jurisdiction,4066,6147,66.1461,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2803900000,GEORGE COUNTY,,GEORGE COUNTY,jurisdiction,11069,17277,64.0678,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2804100000,GREENE COUNTY,,GREENE COUNTY,jurisdiction,5649,8274,68.2741,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2804300000,GRENADA COUNTY,,GRENADA COUNTY,jurisdiction,9766,15896,61.4368,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2804500000,HANCOCK COUNTY,,HANCOCK COUNTY,jurisdiction,21175,38827,54.5368,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2804700000,HARRISON COUNTY,,HARRISON COUNTY,jurisdiction,75923,157609,48.1717,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2804900000,HINDS COUNTY,,HINDS COUNTY,jurisdiction,86830,171401,50.6590,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2805100000,HOLMES COUNTY,,HOLMES COUNTY,jurisdiction,6730,13100,51.3740,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2805300000,HUMPHREYS COUNTY,,HUMPHREYS COUNTY,jurisdiction,3468,6517,53.2147,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2805500000,ISSAQUENA COUNTY,,ISSAQUENA COUNTY,jurisdiction,622,837,74.3130,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MS,2024,2805700000,ITAWAMBA COUNTY,,ITAWAMBA COUNTY,jurisdiction,10621,16420,64.6833,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
