state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
MT,2024,3000100000,BEAVERHEAD COUNTY,,BEAVERHEAD COUNTY,jurisdiction,5893,7505,78.5210,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MT,2024,3000300000,BIG HORN COUNTY,,BIG HORN COUNTY,jurisdiction,4543,7702,58.9847,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MT,2024,3000500000,BLAINE COUNTY,,BLAINE COUNTY,jurisdiction,3093,4236,73.0170,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MT,2024,3000700000,BROADWATER COUNTY,,BROADWATER COUNTY,jurisdiction,4879,6166,79.1275,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MT,2024,3000900000,CARBON COUNTY,,CARBON COUNTY,jurisdiction,7464,9075,82.2479,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MT,2024,3001100000,CARTER COUNTY,,CARTER COUNTY,jurisdiction,865,1010,85.6436,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MT,2024,3001300000,CASCADE COUNTY,,CASCADE COUNTY,jurisdiction,38198,51988,73.4746,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MT,2024,3001500000,CHOUTEAU COUNTY,,CHOUTEAU COUNTY,jurisdiction,2987,3756,79.5261,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MT,2024,3001700000,CUSTER COUNTY,,CUSTER COUNTY,jurisdiction,5891,7533,78.2026,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
MT,2024,3001900000,DANIELS COUNTY,,DANIELS COUNTY,jurisdiction,966,1156,83.5640,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
