state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
ND,2024,3800100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,1213,-88,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ND,2024,3800300000,BARNES COUNTY,,BARNES COUNTY,jurisdiction,5413,-88,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ND,2024,3800500000,BENSON COUNTY,,BENSON COUNTY,jurisdiction,2030,-88,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ND,2024,3800700000,BILLINGS COUNTY,,BILLINGS COUNTY,jurisdiction,658,-88,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ND,2024,3800900000,BOTTINEAU COUNTY,,BOTTINEAU COUNTY,jurisdiction,3485,-88,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ND,2024,3801100000,BOWMAN COUNTY,,BOWMAN COUNTY,jurisdiction,1637,-88,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ND,2024,3801300000,BURKE COUNTY,,BURKE COUNTY,jurisdiction,1068,-88,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ND,2024,3801500000,BURLEIGH COUNTY,,BURLEIGH COUNTY,jurisdiction,52867,-88,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ND,2024,3801700000,CASS COUNTY,,CASS COUNTY,jurisdiction,91565,-88,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ND,2024,3801900000,CAVALIER COUNTY,,CAVALIER COUNTY,jurisdiction,2033,-88,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ND,2024,3802100000,DICKEY COUNTY,,DICKEY COUNTY,jurisdiction,2483,-88,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
ND,2024,3802300000,DIVIDE COUNTY,,DIVIDE COUNTY,jurisdiction,1223,-88,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
