state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
NH,2024,3300101060,ALTON 00,,ALTON 00,jurisdiction,4263,4978,85.6368,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NH,2024,3300103220,BARNSTEAD 00,,BARNSTEAD 00,jurisdiction,3173,3717,85.3645,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NH,2024,3300104740,BELMONT 00,,BELMONT 00,jurisdiction,4334,5199,83.3622,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NH,2024,3300110660,CENTER HARBOR 00,,CENTER HARBOR 00,jurisdiction,821,903,90.9192,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NH,2024,3300128740,GILFORD 00,,GILFORD 00,jurisdiction,5315,6316,84.1514,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NH,2024,3300128980,GILMANTON 00,,GILMANTON 00,jurisdiction,2692,3163,85.1091,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NH,2024,3300140181,LACONIA 01,,LACONIA 01,jurisdiction,2075,2432,85.3207,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NH,2024,3300140182,LACONIA 02,,LACONIA 02,jurisdiction,1373,1703,80.6224,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NH,2024,3300140183,LACONIA 03,,LACONIA 03,jurisdiction,1529,1914,79.8851,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NH,2024,3300140184,LACONIA 04,,LACONIA 04,jurisdiction,1367,1744,78.3830,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NH,2024,3300140185,LACONIA 05,,LACONIA 05,jurisdiction,1286,1588,80.9824,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NH,2024,3300140186,LACONIA 06,,LACONIA 06,jurisdiction,1933,2337,82.7129,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NH,2024,3300147140,MEREDITH 00,,MEREDITH 00,jurisdiction,4675,5671,82.4370,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
