state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
NJ,2024,3400100000,ATLANTIC COUNTY,,ATLANTIC COUNTY,jurisdiction,130789,204780,63.8681,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3400300000,BERGEN COUNTY,,BERGEN COUNTY,jurisdiction,463837,685428,67.6711,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3400500000,BURLINGTON COUNTY,,BURLINGTON COUNTY,jurisdiction,231573,368056,62.9179,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3400700000,CAMDEN COUNTY,,CAMDEN COUNTY,jurisdiction,252220,391504,64.4234,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3400900000,CAPE MAY COUNTY,,CAPE MAY COUNTY,jurisdiction,55204,74362,74.2368,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3401100000,CUMBERLAND COUNTY,,CUMBERLAND COUNTY,jurisdiction,56462,96944,58.2419,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3401300000,ESSEX COUNTY,,ESSEX COUNTY,jurisdiction,315739,585841,53.8950,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3401500000,GLOUCESTER COUNTY,,GLOUCESTER COUNTY,jurisdiction,166287,223604,74.3667,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3401700000,HUDSON COUNTY,,HUDSON COUNTY,jurisdiction,234440,418583,56.0080,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3401900000,HUNTERDON COUNTY,,HUNTERDON COUNTY,jurisdiction,81841,107650,76.0251,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3402100000,MERCER COUNTY,,MERCER COUNTY,jurisdiction,165154,267601,61.7165,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3402300000,MIDDLESEX COUNTY,,MIDDLESEX COUNTY,jurisdiction,369365,585221,63.1155,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3402500000,MONMOUTH COUNTY,,MONMOUTH COUNTY,jurisdiction,363680,502779,72.3340,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3402700000,MORRIS COUNTY,,MORRIS COUNTY,jurisdiction,288123,394867,72.9671,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3402900000,OCEAN COUNTY,,OCEAN COUNTY,jurisdiction,340300,478282,71.1505,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3403100000,PASSAIC COUNTY,,PASSAIC COUNTY,jurisdiction,205563,336416,61.1038,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3403300000,SALEM COUNTY,,SALEM COUNTY,jurisdiction,31255,49824,62.7308,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3403500000,SOMERSET COUNTY,,SOMERSET COUNTY,jurisdiction,179794,259678,69.2373,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3403700000,SUSSEX COUNTY,,SUSSEX COUNTY,jurisdiction,85228,120562,70.6923,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3403900000,UNION COUNTY,,UNION COUNTY,jurisdiction,244439,389412,62.7713,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
NJ,2024,3404100000,WARREN COUNTY,,WARREN COUNTY,jurisdiction,60628,88970,68.1443,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
