state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
OK,2024,4000100000,ADAIR COUNTY,,ADAIR COUNTY,jurisdiction,7283,11667,62.4239,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4000300000,ALFALFA COUNTY,,ALFALFA COUNTY,jurisdiction,2167,3065,70.7015,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4000500000,ATOKA COUNTY,,ATOKA COUNTY,jurisdiction,5678,8331,68.1551,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4000700000,BEAVER COUNTY,,BEAVER COUNTY,jurisdiction,2125,3254,65.3042,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4000900000,BECKHAM COUNTY,,BECKHAM COUNTY,jurisdiction,7692,12082,63.6650,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4001100000,BLAINE COUNTY,,BLAINE COUNTY,jurisdiction,3793,5621,67.4791,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4001300000,BRYAN COUNTY,,BRYAN COUNTY,jurisdiction,17860,29178,61.2105,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4001500000,CADDO COUNTY,,CADDO COUNTY,jurisdiction,9524,14716,64.7187,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4001700000,CANADIAN COUNTY,,CANADIAN COUNTY,jurisdiction,73330,107072,68.4866,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4001900000,CARTER COUNTY,,CARTER COUNTY,jurisdiction,19538,32101,60.8641,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4002100000,CHEROKEE COUNTY,,CHEROKEE COUNTY,jurisdiction,17902,28909,61.9254,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4002300000,CHOCTAW COUNTY,,CHOCTAW COUNTY,jurisdiction,5654,9355,60.4383,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4002500000,CIMARRON COUNTY,,CIMARRON COUNTY,jurisdiction,942,1406,66.9986,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4002700000,CLEVELAND COUNTY,,CLEVELAND COUNTY,jurisdiction,119934,183522,65.3513,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4002900000,COAL COUNTY,,COAL COUNTY,jurisdiction,2554,3945,64.7402,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4003100000,COMANCHE COUNTY,,COMANCHE COUNTY,jurisdiction,34381,63933,53.7766,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4003300000,COTTON COUNTY,,COTTON COUNTY,jurisdiction,2516,3883,64.7953,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4003500000,CRAIG COUNTY,,CRAIG COUNTY,jurisdiction,6074,8800,69.0227,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4003700000,CREEK COUNTY,,CREEK COUNTY,jurisdiction,31398,45861,68.4634,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4003900000,CUSTER COUNTY,,CUSTER COUNTY,jurisdiction,10217,15949,64.0604,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4004100000,DELAWARE COUNTY,,DELAWARE COUNTY,jurisdiction,18163,28200,64.4078,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4004300000,DEWEY COUNTY,,DEWEY COUNTY,jurisdiction,2223,3108,71.5251,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4004500000,ELLIS COUNTY,,ELLIS COUNTY,jurisdiction,1818,2603,69.8425,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4004700000,GARFIELD COUNTY,,GARFIELD COUNTY,jurisdiction,21933,34703,63.2020,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4004900000,GARVIN COUNTY,,GARVIN COUNTY,jurisdiction,11016,16683,66.0313,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4005100000,GRADY COUNTY,,GRADY COUNTY,jurisdiction,25340,36895,68.6814,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4005300000,GRANT COUNTY,,GRANT COUNTY,jurisdiction,2129,2954,72.0718,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OK,2024,4005500000,GREER COUNTY,,GREER COUNTY,jurisdiction,1840,2954,62.2884,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
