state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
OR,2024,4100100000,BAKER COUNTY,,BAKER COUNTY,jurisdiction,9791,13184,74.2643,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OR,2024,4100300000,BENTON COUNTY,,BENTON COUNTY,jurisdiction,50780,62102,81.7687,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OR,2024,4100500000,CLACKAMAS COUNTY,,CLACKAMAS COUNTY,jurisdiction,249005,319203,78.0084,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OR,2024,4100700000,CLATSOP COUNTY,,CLATSOP COUNTY,jurisdiction,23531,31468,74.7776,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OR,2024,4100900000,COLUMBIA COUNTY,,COLUMBIA COUNTY,jurisdiction,31645,42353,74.7173,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OR,2024,4101100000,COOS COUNTY,,COOS COUNTY,jurisdiction,36199,50115,72.2319,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OR,2024,4101300000,CROOK COUNTY,,CROOK COUNTY,jurisdiction,16440,21944,74.9180,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OR,2024,4101500000,CURRY COUNTY,,CURRY COUNTY,jurisdiction,14318,19364,73.9413,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OR,2024,4101700000,DESCHUTES COUNTY,,DESCHUTES COUNTY,jurisdiction,128626,164258,78.3073,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
OR,2024,4101900000,DOUGLAS COUNTY,,DOUGLAS COUNTY,jurisdiction,62797,89890,69.8598,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
