state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
RI,2024,4400105140,BARRINGTON TOWN,,BARRINGTON TOWN,jurisdiction,10774,14357,75.0435,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400109280,BRISTOL TOWN,,BRISTOL TOWN,jurisdiction,11717,16095,72.7990,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400173760,WARREN TOWN,,WARREN TOWN,jurisdiction,6177,8853,69.7730,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400318640,COVENTRY TOWN,,COVENTRY TOWN,jurisdiction,20457,28620,71.4780,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400322240,EAST GREENWICH TOWN,,EAST GREENWICH TOWN,jurisdiction,8660,11518,75.1867,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400374300,WARWICK CITY,,WARWICK CITY,jurisdiction,46366,67437,68.7545,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400377720,WEST GREENWICH TOWN,,WEST GREENWICH TOWN,jurisdiction,4103,5478,74.8996,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400378440,WEST WARWICK TOWN,,WEST WARWICK TOWN,jurisdiction,14315,22308,64.1698,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400536820,JAMESTOWN TOWN,,JAMESTOWN TOWN,jurisdiction,4005,5048,79.3384,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400542400,LITTLE COMPTON TOWN,,LITTLE COMPTON TOWN,jurisdiction,2611,3326,78.5027,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400545460,MIDDLETOWN TOWN,,MIDDLETOWN TOWN,jurisdiction,8152,11924,68.3663,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400549960,NEWPORT CITY,,NEWPORT CITY,jurisdiction,10335,15250,67.7705,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400557880,PORTSMOUTH TOWN,,PORTSMOUTH TOWN,jurisdiction,10822,14806,73.0920,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400570880,TIVERTON TOWN,,TIVERTON TOWN,jurisdiction,9276,13424,69.1001,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400711800,BURRILLVILLE TOWN,,BURRILLVILLE TOWN,jurisdiction,8784,12856,68.3261,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400714140,CENTRAL FALLS CITY,,CENTRAL FALLS CITY,jurisdiction,3887,8565,45.3824,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400719180,CRANSTON CITY,,CRANSTON CITY,jurisdiction,41177,61195,67.2882,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400720080,CUMBERLAND TOWN,,CUMBERLAND TOWN,jurisdiction,20838,27699,75.2302,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400722960,EAST PROVIDENCE CITY,,EAST PROVIDENCE CITY,jurisdiction,23223,36082,64.3617,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400727460,FOSTER TOWN,,FOSTER TOWN,jurisdiction,2972,4022,73.8936,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400730340,GLOCESTER TOWN,,GLOCESTER TOWN,jurisdiction,6424,8937,71.8809,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
RI,2024,4400737720,JOHNSTON TOWN,,JOHNSTON TOWN,jurisdiction,15845,24277,65.2675,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
