state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
SC,2024,4500100000,ABBEVILLE COUNTY,,ABBEVILLE COUNTY,jurisdiction,12107,17526,69.0802,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4500300000,AIKEN COUNTY,,AIKEN COUNTY,jurisdiction,86665,131806,65.7519,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4500500000,ALLENDALE COUNTY,,ALLENDALE COUNTY,jurisdiction,3051,5538,55.0921,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4500700000,ANDERSON COUNTY,,ANDERSON COUNTY,jurisdiction,98869,142213,69.5218,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4500900000,BAMBERG COUNTY,,BAMBERG COUNTY,jurisdiction,5771,9486,60.8370,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4501100000,BARNWELL COUNTY,,BARNWELL COUNTY,jurisdiction,9857,14700,67.0544,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4501300000,BEAUFORT COUNTY,,BEAUFORT COUNTY,jurisdiction,105414,156314,67.4373,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4501500000,BERKELEY COUNTY,,BERKELEY COUNTY,jurisdiction,113538,170988,66.4012,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4501700000,CALHOUN COUNTY,,CALHOUN COUNTY,jurisdiction,7994,11405,70.0921,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4501900000,CHARLESTON COUNTY,,CHARLESTON COUNTY,jurisdiction,216459,334091,64.7904,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4502100000,CHEROKEE COUNTY,,CHEROKEE COUNTY,jurisdiction,24947,37804,65.9904,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4502300000,CHESTER COUNTY,,CHESTER COUNTY,jurisdiction,15692,22607,69.4121,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4502500000,CHESTERFIELD COUNTY,,CHESTERFIELD COUNTY,jurisdiction,18528,29322,63.1880,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4502700000,CLARENDON COUNTY,,CLARENDON COUNTY,jurisdiction,16461,24940,66.0024,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4502900000,COLLETON COUNTY,,COLLETON COUNTY,jurisdiction,18381,27970,65.7168,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4503100000,DARLINGTON COUNTY,,DARLINGTON COUNTY,jurisdiction,30589,46113,66.3349,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4503300000,DILLON COUNTY,,DILLON COUNTY,jurisdiction,11941,20093,59.4287,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4503500000,DORCHESTER COUNTY,,DORCHESTER COUNTY,jurisdiction,78324,123462,63.4398,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4503700000,EDGEFIELD COUNTY,,EDGEFIELD COUNTY,jurisdiction,13979,20290,68.8960,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4503900000,FAIRFIELD COUNTY,,FAIRFIELD COUNTY,jurisdiction,11314,16665,67.8908,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4504100000,FLORENCE COUNTY,,FLORENCE COUNTY,jurisdiction,61622,95751,64.3565,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4504300000,GEORGETOWN COUNTY,,GEORGETOWN COUNTY,jurisdiction,38119,51625,73.8383,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4504500000,GREENVILLE COUNTY,,GREENVILLE COUNTY,jurisdiction,265507,387602,68.4999,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4504700000,GREENWOOD COUNTY,,GREENWOOD COUNTY,jurisdiction,31108,45428,68.4776,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4504900000,HAMPTON COUNTY,,HAMPTON COUNTY,jurisdiction,8302,12977,63.9747,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4505100000,HORRY COUNTY,,HORRY COUNTY,jurisdiction,207168,310276,66.7689,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4505300000,JASPER COUNTY,,JASPER COUNTY,jurisdiction,18382,26925,68.2711,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4505500000,KERSHAW COUNTY,,KERSHAW COUNTY,jurisdiction,33762,47741,70.7191,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4505700000,LANCASTER COUNTY,,LANCASTER COUNTY,jurisdiction,54831,78340,69.9911,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4505900000,LAURENS COUNTY,,LAURENS COUNTY,jurisdiction,30367,45596,66.6001,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4506100000,LEE COUNTY,,LEE COUNTY,jurisdiction,8119,11950,67.9414,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4506300000,LEXINGTON COUNTY,,LEXINGTON COUNTY,jurisdiction,147971,217332,68.0852,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4506500000,MCCORMICK COUNTY,,MCCORMICK COUNTY,jurisdiction,6221,8634,72.0524,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4506700000,MARION COUNTY,,MARION COUNTY,jurisdiction,13510,22261,60.6891,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4506900000,MARLBORO COUNTY,,MARLBORO COUNTY,jurisdiction,10243,18492,55.3915,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4507100000,NEWBERRY COUNTY,,NEWBERRY COUNTY,jurisdiction,18247,26328,69.3064,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4507300000,OCONEE COUNTY,,OCONEE COUNTY,jurisdiction,42553,60883,69.8931,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4507500000,ORANGEBURG COUNTY,,ORANGEBURG COUNTY,jurisdiction,37174,58958,63.0517,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SC,2024,4507700000,PICKENS COUNTY,,PICKENS COUNTY,jurisdiction,60822,85469,71.1626,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
