state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
SD,2024,4600300000,AURORA COUNTY,,AURORA COUNTY,jurisdiction,1416,1944,72.8395,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4600500000,BEADLE COUNTY,,BEADLE COUNTY,jurisdiction,7155,11014,64.9628,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4600700000,BENNETT COUNTY,,BENNETT COUNTY,jurisdiction,1094,2024,54.0514,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4600900000,BON HOMME COUNTY,,BON HOMME COUNTY,jurisdiction,3060,4281,71.4786,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4601100000,BROOKINGS COUNTY,,BROOKINGS COUNTY,jurisdiction,15288,23180,65.9534,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4601300000,BROWN COUNTY,,BROWN COUNTY,jurisdiction,17358,26912,64.4991,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4601500000,BRULE COUNTY,,BRULE COUNTY,jurisdiction,2476,3536,70.0226,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4601700000,BUFFALO COUNTY,,BUFFALO COUNTY,jurisdiction,463,993,46.6264,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4601900000,BUTTE COUNTY,,BUTTE COUNTY,jurisdiction,5139,8334,61.6631,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4602100000,CAMPBELL COUNTY,,CAMPBELL COUNTY,jurisdiction,847,1210,70.0000,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4602300000,CHARLES MIX COUNTY,,CHARLES MIX COUNTY,jurisdiction,3675,5895,62.3410,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4602500000,CLARK COUNTY,,CLARK COUNTY,jurisdiction,1887,2747,68.6931,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4602700000,CLAY COUNTY,,CLAY COUNTY,jurisdiction,5801,9789,59.2604,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4602900000,CODINGTON COUNTY,,CODINGTON COUNTY,jurisdiction,13771,20584,66.9015,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4603100000,CORSON COUNTY,,CORSON COUNTY,jurisdiction,1162,2547,45.6223,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4603300000,CUSTER COUNTY,,CUSTER COUNTY,jurisdiction,6108,9047,67.5141,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4603500000,DAVISON COUNTY,,DAVISON COUNTY,jurisdiction,9309,14397,64.6593,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4603700000,DAY COUNTY,,DAY COUNTY,jurisdiction,2986,4158,71.8134,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4603900000,DEUEL COUNTY,,DEUEL COUNTY,jurisdiction,2329,3264,71.3542,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4604100000,DEWEY COUNTY,,DEWEY COUNTY,jurisdiction,1912,3622,52.7885,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4604300000,DOUGLAS COUNTY,,DOUGLAS COUNTY,jurisdiction,1682,2170,77.5115,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4604500000,EDMUNDS COUNTY,,EDMUNDS COUNTY,jurisdiction,2065,2878,71.7512,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4604700000,FALL RIVER COUNTY,,FALL RIVER COUNTY,jurisdiction,4318,6879,62.7708,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4604900000,FAULK COUNTY,,FAULK COUNTY,jurisdiction,1160,1633,71.0349,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4605100000,GRANT COUNTY,,GRANT COUNTY,jurisdiction,3697,5187,71.2743,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4605300000,GREGORY COUNTY,,GREGORY COUNTY,jurisdiction,2310,3060,75.4902,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4605500000,HAAKON COUNTY,,HAAKON COUNTY,jurisdiction,1141,1467,77.7778,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4605700000,HAMLIN COUNTY,,HAMLIN COUNTY,jurisdiction,3221,4494,71.6733,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4605900000,HAND COUNTY,,HAND COUNTY,jurisdiction,1794,2401,74.7189,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4606100000,HANSON COUNTY,,HANSON COUNTY,jurisdiction,2092,3833,54.5787,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4606300000,HARDING COUNTY,,HARDING COUNTY,jurisdiction,831,1078,77.0872,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4606500000,HUGHES COUNTY,,HUGHES COUNTY,jurisdiction,8625,12978,66.4586,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
SD,2024,4606700000,HUTCHINSON COUNTY,,HUTCHINSON COUNTY,jurisdiction,3811,5256,72.5076,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
