state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
TN,2024,4700100000,ANDERSON COUNTY,,ANDERSON COUNTY,jurisdiction,36841,53599,68.7345,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TN,2024,4700300000,BEDFORD COUNTY,,BEDFORD COUNTY,jurisdiction,20194,30759,65.6523,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TN,2024,4700500000,BENTON COUNTY,,BENTON COUNTY,jurisdiction,7286,11501,63.3510,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TN,2024,4700700000,BLEDSOE COUNTY,,BLEDSOE COUNTY,jurisdiction,6217,9363,66.3997,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TN,2024,4700900000,BLOUNT COUNTY,,BLOUNT COUNTY,jurisdiction,69805,99289,70.3049,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TN,2024,4701100000,BRADLEY COUNTY,,BRADLEY COUNTY,jurisdiction,49643,80010,62.0460,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TN,2024,4701300000,CAMPBELL COUNTY,,CAMPBELL COUNTY,jurisdiction,15614,24527,63.6605,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TN,2024,4701500000,CANNON COUNTY,,CANNON COUNTY,jurisdiction,6930,10007,69.2515,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TN,2024,4701700000,CARROLL COUNTY,,CARROLL COUNTY,jurisdiction,11944,17779,67.1804,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TN,2024,4701900000,CARTER COUNTY,,CARTER COUNTY,jurisdiction,25035,37189,67.3183,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
