state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
TX,2024,4800100000,ANDERSON COUNTY,,ANDERSON COUNTY,jurisdiction,19434,30613,63.4828,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TX,2024,4800300000,ANDREWS COUNTY,,ANDREWS COUNTY,jurisdiction,6082,10739,56.6347,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TX,2024,4800500000,ANGELINA COUNTY,,ANGELINA COUNTY,jurisdiction,34589,55965,61.8047,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TX,2024,4800700000,ARANSAS COUNTY,,ARANSAS COUNTY,jurisdiction,13093,19849,65.9630,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TX,2024,4800900000,ARCHER COUNTY,,ARCHER COUNTY,jurisdiction,5149,7008,73.4732,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TX,2024,4801100000,ARMSTRONG COUNTY,,ARMSTRONG COUNTY,jurisdiction,1122,1429,78.5164,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TX,2024,4801300000,ATASCOSA COUNTY,,ATASCOSA COUNTY,jurisdiction,18533,32142,57.6598,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TX,2024,4801500000,AUSTIN COUNTY,,AUSTIN COUNTY,jurisdiction,15524,22116,70.1935,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TX,2024,4801700000,BAILEY COUNTY,,BAILEY COUNTY,jurisdiction,1753,3172,55.2648,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TX,2024,4801900000,BANDERA COUNTY,,BANDERA COUNTY,jurisdiction,13630,19026,71.6388,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TX,2024,4802100000,BASTROP COUNTY,,BASTROP COUNTY,jurisdiction,40029,61403,65.1906,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
TX,2024,4802300000,BAYLOR COUNTY,,BAYLOR COUNTY,jurisdiction,1694,2430,69.7119,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
