state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
UT,2024,4900100000,BEAVER COUNTY,,BEAVER COUNTY,jurisdiction,3252,4079,79.7254,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4900300000,BOX ELDER COUNTY,,BOX ELDER COUNTY,jurisdiction,29668,37459,79.2013,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4900500000,CACHE COUNTY,,CACHE COUNTY,jurisdiction,,81455,,registeredVoters,eacReported,EAC-reported registered-voter denominator,true,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4900700000,CARBON COUNTY,,CARBON COUNTY,jurisdiction,9610,12772,75.2427,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4900900000,DAGGETT COUNTY,,DAGGETT COUNTY,jurisdiction,557,726,76.7218,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4901100000,DAVIS COUNTY,,DAVIS COUNTY,jurisdiction,172867,227197,76.0868,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4901300000,DUCHESNE COUNTY,,DUCHESNE COUNTY,jurisdiction,9067,11781,76.9629,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4901500000,EMERY COUNTY,,EMERY COUNTY,jurisdiction,4985,6463,77.1314,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4901700000,GARFIELD COUNTY,,GARFIELD COUNTY,jurisdiction,2857,3493,81.7922,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4901900000,GRAND COUNTY,,GRAND COUNTY,jurisdiction,5371,6867,78.2146,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4902100000,IRON COUNTY,,IRON COUNTY,jurisdiction,28455,37672,75.5336,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4902300000,JUAB COUNTY,,JUAB COUNTY,jurisdiction,6616,8303,79.6820,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4902500000,KANE COUNTY,,KANE COUNTY,jurisdiction,4560,5938,76.7935,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4902700000,MILLARD COUNTY,,MILLARD COUNTY,jurisdiction,6500,8133,79.9213,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4902900000,MORGAN COUNTY,,MORGAN COUNTY,jurisdiction,7005,8695,80.5635,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4903100000,PIUTE COUNTY,,PIUTE COUNTY,jurisdiction,977,1146,85.2531,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4903300000,RICH COUNTY,,RICH COUNTY,jurisdiction,1465,1585,92.4290,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
UT,2024,4903500000,SALT LAKE COUNTY,,SALT LAKE COUNTY,jurisdiction,521789,709030,73.5919,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
