state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
VA,2024,5100100000,ACCOMACK COUNTY,,ACCOMACK COUNTY,jurisdiction,17254,26298,65.6096,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VA,2024,5100300000,ALBEMARLE COUNTY,,ALBEMARLE COUNTY,jurisdiction,67139,88740,75.6581,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VA,2024,5100500000,ALLEGHANY COUNTY,,ALLEGHANY COUNTY,jurisdiction,8341,11329,73.6252,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VA,2024,5100700000,AMELIA COUNTY,,AMELIA COUNTY,jurisdiction,8069,10537,76.5778,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VA,2024,5100900000,AMHERST COUNTY,,AMHERST COUNTY,jurisdiction,17481,23621,74.0062,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VA,2024,5101100000,APPOMATTOX COUNTY,,APPOMATTOX COUNTY,jurisdiction,4721,12754,37.0158,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VA,2024,5101300000,ARLINGTON COUNTY,,ARLINGTON COUNTY,jurisdiction,130752,187424,69.7627,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VA,2024,5101500000,AUGUSTA COUNTY,,AUGUSTA COUNTY,jurisdiction,42704,57268,74.5687,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VA,2024,5101700000,BATH COUNTY,,BATH COUNTY,jurisdiction,2600,3455,75.2533,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VA,2024,5101900000,BEDFORD COUNTY,,BEDFORD COUNTY,jurisdiction,51256,65401,78.3719,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
