state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
VT,2024,5000100325,ADDISON,,ADDISON,jurisdiction,876,1165,75.1931,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VT,2024,5000108575,BRIDPORT,,BRIDPORT,jurisdiction,784,916,85.5895,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VT,2024,5000109025,BRISTOL,,BRISTOL,jurisdiction,1197,3365,35.5721,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VT,2024,5000116000,CORNWALL,,CORNWALL,jurisdiction,861,1023,84.1642,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VT,2024,5000126275,FERRISBURG,,FERRISBURG,jurisdiction,1930,2368,81.5034,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VT,2024,5000128600,GOSHEN,,GOSHEN,jurisdiction,131,168,77.9762,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VT,2024,5000129575,GRANVILLE,,GRANVILLE,jurisdiction,172,242,71.0744,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VT,2024,5000131525,HANCOCK,,HANCOCK,jurisdiction,197,274,71.8978,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VT,2024,5000139325,LEICESTER,,LEICESTER,jurisdiction,614,787,78.0178,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VT,2024,5000140075,LINCOLN,,LINCOLN,jurisdiction,972,1129,86.0939,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
VT,2024,5000144350,MIDDLEBURY,,MIDDLEBURY,jurisdiction,4429,5897,75.1060,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
