state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
WA,2024,5300100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,5417,9129,59.3384,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5300300000,ASOTIN COUNTY,,ASOTIN COUNTY,jurisdiction,11565,17046,67.8458,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5300500000,BENTON COUNTY,,BENTON COUNTY,jurisdiction,101310,148580,68.1855,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5300700000,CHELAN COUNTY,,CHELAN COUNTY,jurisdiction,42383,57869,73.2396,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5300900000,CLALLAM COUNTY,,CLALLAM COUNTY,jurisdiction,48703,63962,76.1436,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5301100000,CLARK COUNTY,,CLARK COUNTY,jurisdiction,278932,389494,71.6139,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5301300000,COLUMBIA COUNTY,,COLUMBIA COUNTY,jurisdiction,2500,3246,77.0179,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5301500000,COWLITZ COUNTY,,COWLITZ COUNTY,jurisdiction,59719,84035,71.0644,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5301700000,DOUGLAS COUNTY,,DOUGLAS COUNTY,jurisdiction,21346,30176,70.7383,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5301900000,FERRY COUNTY,,FERRY COUNTY,jurisdiction,4160,5767,72.1346,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5302100000,FRANKLIN COUNTY,,FRANKLIN COUNTY,jurisdiction,32139,51725,62.1344,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5302300000,GARFIELD COUNTY,,GARFIELD COUNTY,jurisdiction,1390,1815,76.5840,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5302500000,GRANT COUNTY,,GRANT COUNTY,jurisdiction,36601,56306,65.0037,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5302700000,GRAYS HARBOR COUNTY,,GRAYS HARBOR COUNTY,jurisdiction,38014,55783,68.1462,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5302900000,ISLAND COUNTY,,ISLAND COUNTY,jurisdiction,52961,72690,72.8587,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5303100000,JEFFERSON COUNTY,,JEFFERSON COUNTY,jurisdiction,24621,30674,80.2667,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5303300000,KING COUNTY,,KING COUNTY,jurisdiction,1143082,1596674,71.5914,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5303500000,KITSAP COUNTY,,KITSAP COUNTY,jurisdiction,156738,219571,71.3837,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5303700000,KITTITAS COUNTY,,KITTITAS COUNTY,jurisdiction,26638,34929,76.2633,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5303900000,KLICKITAT COUNTY,,KLICKITAT COUNTY,jurisdiction,13670,18489,73.9359,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5304100000,LEWIS COUNTY,,LEWIS COUNTY,jurisdiction,45657,63028,72.4392,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5304300000,LINCOLN COUNTY,,LINCOLN COUNTY,jurisdiction,7190,9384,76.6198,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5304500000,MASON COUNTY,,MASON COUNTY,jurisdiction,36992,50823,72.7859,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5304700000,OKANOGAN COUNTY,,OKANOGAN COUNTY,jurisdiction,20832,28949,71.9610,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5304900000,PACIFIC COUNTY,,PACIFIC COUNTY,jurisdiction,14329,19514,73.4293,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WA,2024,5305100000,PEND OREILLE COUNTY,,PEND OREILLE COUNTY,jurisdiction,8601,11927,72.1137,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
