state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
WV,2024,5400100000,BARBOUR COUNTY,,BARBOUR COUNTY,jurisdiction,6530,9928,65.7736,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5400300000,BERKELEY COUNTY,,BERKELEY COUNTY,jurisdiction,56696,95418,59.4186,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5400500000,BOONE COUNTY,,BOONE COUNTY,jurisdiction,8325,14231,58.4991,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5400700000,BRAXTON COUNTY,,BRAXTON COUNTY,jurisdiction,5365,8353,64.2284,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5400900000,BROOKE COUNTY,,BROOKE COUNTY,jurisdiction,9874,15071,65.5166,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5401100000,CABELL COUNTY,,CABELL COUNTY,jurisdiction,35922,58492,61.4135,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5401300000,CALHOUN COUNTY,,CALHOUN COUNTY,jurisdiction,2574,4490,57.3274,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5401500000,CLAY COUNTY,,CLAY COUNTY,jurisdiction,3267,5329,61.3061,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5401700000,DODDRIDGE COUNTY,,DODDRIDGE COUNTY,jurisdiction,2972,4519,65.7668,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5401900000,FAYETTE COUNTY,,FAYETTE COUNTY,jurisdiction,15759,26213,60.1190,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5402100000,GILMER COUNTY,,GILMER COUNTY,jurisdiction,2346,3737,62.7776,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5402300000,GRANT COUNTY,,GRANT COUNTY,jurisdiction,5613,7646,73.4109,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5402500000,GREENBRIER COUNTY,,GREENBRIER COUNTY,jurisdiction,15120,23315,64.8510,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WV,2024,5402700000,HAMPSHIRE COUNTY,,HAMPSHIRE COUNTY,jurisdiction,10584,15254,69.3851,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
