state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
WY,2024,5600100000,ALBANY COUNTY,,ALBANY COUNTY,jurisdiction,17993,20113,89.4596,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5600300000,BIG HORN COUNTY,,BIG HORN COUNTY,jurisdiction,5788,6287,92.0630,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5600500000,CAMPBELL COUNTY,,CAMPBELL COUNTY,jurisdiction,18450,20034,92.0934,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5600700000,CARBON COUNTY,,CARBON COUNTY,jurisdiction,6446,7134,90.3560,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5600900000,CONVERSE COUNTY,,CONVERSE COUNTY,jurisdiction,6780,7357,92.1571,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5601100000,CROOK COUNTY,,CROOK COUNTY,jurisdiction,4368,4757,91.8226,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5601300000,FREMONT COUNTY,,FREMONT COUNTY,jurisdiction,17396,19269,90.2797,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5601500000,GOSHEN COUNTY,,GOSHEN COUNTY,jurisdiction,6214,6792,91.4900,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5601700000,HOT SPRINGS COUNTY,,HOT SPRINGS COUNTY,jurisdiction,2643,2885,91.6118,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5601900000,JOHNSON COUNTY,,JOHNSON COUNTY,jurisdiction,4955,5408,91.6235,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5602100000,LARAMIE COUNTY,,LARAMIE COUNTY,jurisdiction,43607,47711,91.3982,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5602300000,LINCOLN COUNTY,,LINCOLN COUNTY,jurisdiction,10940,12086,90.5180,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5602500000,NATRONA COUNTY,,NATRONA COUNTY,jurisdiction,34206,37105,92.1870,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5602700000,NIOBRARA COUNTY,,NIOBRARA COUNTY,jurisdiction,1244,1372,90.6706,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5602900000,PARK COUNTY,,PARK COUNTY,jurisdiction,16876,18401,91.7124,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5603100000,PLATTE COUNTY,,PLATTE COUNTY,jurisdiction,4805,5275,91.0900,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5603300000,SHERIDAN COUNTY,,SHERIDAN COUNTY,jurisdiction,16577,17998,92.1047,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5603500000,SUBLETTE COUNTY,,SUBLETTE COUNTY,jurisdiction,4972,5477,90.7796,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
WY,2024,5603700000,SWEETWATER COUNTY,,SWEETWATER COUNTY,jurisdiction,16819,18032,93.2731,registeredVoters,eacReported,EAC-reported registered-voter denominator,false,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,candidate
