state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,method,method_label,source_field,voters,method_share_pct,total_voters,value_status,source_url,source_title,source_status
MI,2024,2600100000,ALCONA COUNTY,,ALCONA COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,4308,57.2036,7531,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600100000,ALCONA COUNTY,,ALCONA COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,10,0.1328,7531,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600100000,ALCONA COUNTY,,ALCONA COUNTY,jurisdiction,mail_votes,Mail votes,F1d,1813,24.0738,7531,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600100000,ALCONA COUNTY,,ALCONA COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,0,0.0000,7531,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600100000,ALCONA COUNTY,,ALCONA COUNTY,jurisdiction,in_person_early,In-person early voting,F1f,1400,18.5898,7531,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600100000,ALCONA COUNTY,,ALCONA COUNTY,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,,,7531,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600100000,ALCONA COUNTY,,ALCONA COUNTY,jurisdiction,other_participation,Other participation,F1h,,,7531,missing,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600300000,ALGER COUNTY,,ALGER COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,3077,58.0347,5302,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600300000,ALGER COUNTY,,ALGER COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,4,0.0754,5302,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600300000,ALGER COUNTY,,ALGER COUNTY,jurisdiction,mail_votes,Mail votes,F1d,1458,27.4991,5302,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600300000,ALGER COUNTY,,ALGER COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,0,0.0000,5302,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600300000,ALGER COUNTY,,ALGER COUNTY,jurisdiction,in_person_early,In-person early voting,F1f,763,14.3908,5302,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600300000,ALGER COUNTY,,ALGER COUNTY,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,,,5302,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600300000,ALGER COUNTY,,ALGER COUNTY,jurisdiction,other_participation,Other participation,F1h,,,5302,missing,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600500000,ALLEGAN COUNTY,,ALLEGAN COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,26392,36.4354,72435,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600500000,ALLEGAN COUNTY,,ALLEGAN COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,168,0.2319,72435,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600500000,ALLEGAN COUNTY,,ALLEGAN COUNTY,jurisdiction,mail_votes,Mail votes,F1d,20655,28.5152,72435,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600500000,ALLEGAN COUNTY,,ALLEGAN COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,0,0.0000,72435,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600500000,ALLEGAN COUNTY,,ALLEGAN COUNTY,jurisdiction,in_person_early,In-person early voting,F1f,25220,34.8174,72435,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600500000,ALLEGAN COUNTY,,ALLEGAN COUNTY,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,,,72435,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600500000,ALLEGAN COUNTY,,ALLEGAN COUNTY,jurisdiction,other_participation,Other participation,F1h,,,72435,missing,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600700000,ALPENA COUNTY,,ALPENA COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,8947,51.6600,17319,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600700000,ALPENA COUNTY,,ALPENA COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,43,0.2483,17319,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600700000,ALPENA COUNTY,,ALPENA COUNTY,jurisdiction,mail_votes,Mail votes,F1d,5088,29.3781,17319,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600700000,ALPENA COUNTY,,ALPENA COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,0,0.0000,17319,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600700000,ALPENA COUNTY,,ALPENA COUNTY,jurisdiction,in_person_early,In-person early voting,F1f,3241,18.7136,17319,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600700000,ALPENA COUNTY,,ALPENA COUNTY,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,,,17319,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600700000,ALPENA COUNTY,,ALPENA COUNTY,jurisdiction,other_participation,Other participation,F1h,,,17319,missing,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MI,2024,2600900000,ANTRIM COUNTY,,ANTRIM COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,5677,33.3412,17027,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
