state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,method,method_label,source_field,voters,method_share_pct,total_voters,value_status,source_url,source_title,source_status
MN,2024,2700100000,AITKIN COUNTY,,AITKIN COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,4194,39.9886,10488,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2700100000,AITKIN COUNTY,,AITKIN COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,19,0.1812,10488,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2700100000,AITKIN COUNTY,,AITKIN COUNTY,jurisdiction,mail_votes,Mail votes,F1d,697,6.6457,10488,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2700100000,AITKIN COUNTY,,AITKIN COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,,,10488,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2700100000,AITKIN COUNTY,,AITKIN COUNTY,jurisdiction,in_person_early,In-person early voting,F1f,1919,18.2971,10488,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2700100000,AITKIN COUNTY,,AITKIN COUNTY,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,3659,34.8875,10488,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2700100000,AITKIN COUNTY,,AITKIN COUNTY,jurisdiction,other_participation,Other participation,F1h,,,10488,missing,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2700300000,ANOKA COUNTY,,ANOKA COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,126175,59.6665,211467,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2700300000,ANOKA COUNTY,,ANOKA COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,505,0.2388,211467,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2700300000,ANOKA COUNTY,,ANOKA COUNTY,jurisdiction,mail_votes,Mail votes,F1d,18260,8.6349,211467,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
