state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,method,method_label,source_field,voters,method_share_pct,total_voters,value_status,source_url,source_title,source_status
PA,2024,4200100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,42058,68.9656,60984,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
PA,2024,4200100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,178,0.2919,60984,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
PA,2024,4200100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,mail_votes,Mail votes,F1d,18487,30.3145,60984,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
PA,2024,4200100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,261,0.4280,60984,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
PA,2024,4200100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,in_person_early,In-person early voting,F1f,,,60984,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
PA,2024,4200100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,,,60984,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
PA,2024,4200100000,ADAMS COUNTY,,ADAMS COUNTY,jurisdiction,other_participation,Other participation,F1h,,,60984,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
PA,2024,4200300000,ALLEGHENY COUNTY,,ALLEGHENY COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,484529,67.0862,722248,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
PA,2024,4200300000,ALLEGHENY COUNTY,,ALLEGHENY COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,3520,0.4874,722248,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
PA,2024,4200300000,ALLEGHENY COUNTY,,ALLEGHENY COUNTY,jurisdiction,mail_votes,Mail votes,F1d,224465,31.0787,722248,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
