state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
FL,2012,Alachua County,Alachua County,Alachua County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,69699,48797,2277,120773
FL,2012,Baker County,Baker County,Baker County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,2311,8975,104,11390
FL,2012,Bay County,Bay County,Bay County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,22051,56876,1174,80101
FL,2012,Bradford County,Bradford County,Bradford County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,3325,8219,120,11664
FL,2012,Brevard County,Brevard County,Brevard County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,122993,159300,4135,286428
FL,2012,Broward County,Broward County,Broward County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,508312,244101,4941,757354
FL,2012,Calhoun County,Calhoun County,Calhoun County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,1664,4366,153,6183
FL,2012,Charlotte County,Charlotte County,Charlotte County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,35906,47996,1021,84923
FL,2012,Citrus County,Citrus County,Citrus County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,28460,44662,1047,74169
FL,2012,Clay County,Clay County,Clay County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,25759,70022,1024,96805
FL,2012,Collier County,Collier County,Collier County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,51698,96520,1106,149324
FL,2012,Columbia County,Columbia County,Columbia County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,8462,18429,336,27227
FL,2012,DeSoto County,DeSoto County,DeSoto County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,4174,5587,126,9887
FL,2012,Dixie County,Dixie County,Dixie County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,1798,5052,109,6959
FL,2012,Duval County,Duval County,Duval County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,196737,211615,4381,412733
FL,2012,Escambia County,Escambia County,Escambia County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,58185,88711,2071,148967
FL,2012,Flagler County,Flagler County,Flagler County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,23207,26969,531,50707
FL,2012,Franklin County,Franklin County,Franklin County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,1845,3570,79,5494
FL,2012,Gadsden County,Gadsden County,Gadsden County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,15770,6630,125,22525
FL,2012,Gilchrist County,Gilchrist County,Gilchrist County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,1885,5917,135,7937
FL,2012,Glades County,Glades County,Glades County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,1603,2344,57,4004
FL,2012,Gulf County,Gulf County,Gulf County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,2014,4995,117,7126
FL,2012,Hamilton County,Hamilton County,Hamilton County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,2228,3138,54,5420
FL,2012,Hardee County,Hardee County,Hardee County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,2463,4696,85,7244
FL,2012,Hendry County,Hendry County,Hendry County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida,4751,5355,109,10215
