state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
GA,2012,Appling County,Appling County,Appling County,ga-historical-presidential-media-export,county,georgiaMediaExportJsonCountyHistorical,https://results.sos.ga.gov/cdn/results/Georgia/export-2012NovGen.json,1758,5233,92,7083
GA,2012,Atkinson County,Atkinson County,Atkinson County,ga-historical-presidential-media-export,county,georgiaMediaExportJsonCountyHistorical,https://results.sos.ga.gov/cdn/results/Georgia/export-2012NovGen.json,930,1938,34,2902
GA,2012,Bacon County,Bacon County,Bacon County,ga-historical-presidential-media-export,county,georgiaMediaExportJsonCountyHistorical,https://results.sos.ga.gov/cdn/results/Georgia/export-2012NovGen.json,791,3093,46,3930
GA,2012,Baker County,Baker County,Baker County,ga-historical-presidential-media-export,county,georgiaMediaExportJsonCountyHistorical,https://results.sos.ga.gov/cdn/results/Georgia/export-2012NovGen.json,794,785,10,1589
GA,2012,Baldwin County,Baldwin County,Baldwin County,ga-historical-presidential-media-export,county,georgiaMediaExportJsonCountyHistorical,https://results.sos.ga.gov/cdn/results/Georgia/export-2012NovGen.json,8483,7589,160,16232
GA,2012,Banks County,Banks County,Banks County,ga-historical-presidential-media-export,county,georgiaMediaExportJsonCountyHistorical,https://results.sos.ga.gov/cdn/results/Georgia/export-2012NovGen.json,780,5354,59,6193
GA,2012,Barrow County,Barrow County,Barrow County,ga-historical-presidential-media-export,county,georgiaMediaExportJsonCountyHistorical,https://results.sos.ga.gov/cdn/results/Georgia/export-2012NovGen.json,6028,18725,433,25186
GA,2012,Bartow County,Bartow County,Bartow County,ga-historical-presidential-media-export,county,georgiaMediaExportJsonCountyHistorical,https://results.sos.ga.gov/cdn/results/Georgia/export-2012NovGen.json,8396,26876,510,35782
GA,2012,Ben Hill County,Ben Hill County,Ben Hill County,ga-historical-presidential-media-export,county,georgiaMediaExportJsonCountyHistorical,https://results.sos.ga.gov/cdn/results/Georgia/export-2012NovGen.json,2512,3396,44,5952
GA,2012,Berrien County,Berrien County,Berrien County,ga-historical-presidential-media-export,county,georgiaMediaExportJsonCountyHistorical,https://results.sos.ga.gov/cdn/results/Georgia/export-2012NovGen.json,1273,4843,84,6200
GA,2012,Bibb County,Bibb County,Bibb County,ga-historical-presidential-media-export,county,georgiaMediaExportJsonCountyHistorical,https://results.sos.ga.gov/cdn/results/Georgia/export-2012NovGen.json,38585,25623,482,64690
