state,election_year,county,registered_voters,ballots_cast,president_votes,source_url,source_member
GA,2012,Appling County,10955,7144,7083,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Appling_42279_112237-summary.zip
GA,2012,Atkinson County,4371,2938,2902,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Atkinson_42280_112238-summary.zip
GA,2012,Bacon County,4981,3951,3930,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Bacon_42281_112215-summary.zip
GA,2012,Baker County,2162,1603,1589,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Baker_42282_112216-summary.zip
GA,2012,Baldwin County,21737,16330,16232,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Baldwin_42283_112217-summary.zip
GA,2012,Banks County,8761,6224,6193,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Banks_42284_112218-summary.zip
GA,2012,Barrow County,35096,25315,25186,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Barrow_42285_112219-summary.zip
GA,2012,Bartow County,50049,35981,35782,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Bartow_42286_112220-summary.zip
GA,2012,Ben Hill County,8497,5991,5952,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Ben_Hill_42287_112221-summary.zip
GA,2012,Berrien County,10311,6252,6200,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Berrien_42288_112222-summary.zip
GA,2012,Bibb County,88719,65015,64690,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Bibb_42289_112223-summary.zip
GA,2012,Bleckley County,6381,4940,4907,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Bleckley_42290_112225-summary.zip
GA,2012,Brantley County,8743,6052,6002,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Brantley_42291_112227-summary.zip
GA,2012,Brooks County,9281,6797,6742,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Brooks_42292_112229-summary.zip
GA,2012,Bryan County,19513,13511,13439,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Bryan_42293_112231-summary.zip
GA,2012,Bulloch County,35718,24201,24069,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Bulloch_42294_112233-summary.zip
GA,2012,Burke County,12928,9837,9778,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Burke_42295_112257-summary.zip
GA,2012,Butts County,11837,9443,9374,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Butts_42296_112235-summary.zip
GA,2012,Calhoun County,2850,2210,2188,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Calhoun_42297_112254-summary.zip
GA,2012,Camden County,27268,18092,17983,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Camden_42298_112256-summary.zip
GA,2012,Candler County,4890,3545,3528,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Candler_42299_112259-summary.zip
GA,2012,Carroll County,57996,41773,41531,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Carroll_42300_112261-summary.zip
GA,2012,Catoosa County,41328,23867,23657,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Catoosa_42301_112262-summary.zip
GA,2012,Charlton County,5290,3795,3763,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Charlton_42302_112265-summary.zip
GA,2012,Chatham County,150424,109161,108561,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Chatham_42303_112266-summary.zip
GA,2012,Chattahoochee County,4152,1505,1490,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Chattahoochee_42304_112267-summary.zip
GA,2012,Chattooga County,11844,7923,7822,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Chattooga_42305_112273-summary.zip
GA,2012,Cherokee County,128873,98569,98113,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Cherokee_42306_112275-summary.zip
GA,2012,Clarke County,60266,40631,40196,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Clarke_42307_112276-summary.zip
GA,2012,Clay County,1773,1415,1402,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Clay_42308_112277-summary.zip
GA,2012,Clayton County,156049,96457,96067,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Clayton_42309_112279-summary.zip
