state,election_year,county,jurisdiction_tag,local_unit,level,dem_candidate,rep_candidate,dem_votes,rep_votes,other_votes,total_votes,comparison_contest,comparison_dem_candidate,comparison_rep_candidate,comparison_dem_votes,comparison_rep_votes,comparison_other_votes,coverage_mode,source_id,comparison_source_id,source_url
GA,2016,Appling County,county:13001,Appling County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1434,5494,77,7005,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),1187,5170,154,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Atkinson County,county:13003,Atkinson County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),697,1878,35,2610,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),596,1678,65,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Bacon County,county:13005,Bacon County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),608,3364,47,4019,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),474,3046,95,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Baker County,county:13007,Baker County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),650,775,15,1440,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),531,763,29,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Baldwin County,county:13009,Baldwin County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),7970,7697,419,16086,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),6787,7796,464,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Banks County,county:13011,Banks County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),684,6134,132,6950,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),673,5705,304,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Barrow County,county:13013,Barrow County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),6580,21108,1143,28831,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),5691,20281,1608,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Bartow County,county:13015,Bartow County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),8212,29911,1183,39306,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),7291,28073,2008,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Ben Hill County,county:13017,Ben Hill County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),2101,3739,91,5931,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),1739,3589,135,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Berrien County,county:13019,Berrien County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1047,5422,115,6584,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),895,5061,226,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Bibb County,county:13021,Bibb County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),36787,24043,1447,62277,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),31533,25601,1677,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Bleckley County,county:13023,Bleckley County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1101,3719,123,4943,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),923,3698,147,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Brantley County,county:13025,Brantley County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),619,5567,106,6292,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),611,4844,244,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Brooks County,county:13027,Brooks County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),2528,3701,89,6318,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),2092,3465,188,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Bryan County,county:13029,Bryan County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),4014,10529,542,15085,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),3216,10488,655,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Bulloch County,county:13031,Bulloch County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),9261,15097,890,25248,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),7738,15530,1016,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Burke County,county:13033,Burke County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),4731,4491,129,9351,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),4068,4448,200,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Butts County,county:13035,Butts County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),2566,6717,194,9477,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),2167,6320,346,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Calhoun County,county:13037,Calhoun County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1179,830,16,2025,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),1007,862,30,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Camden County,county:13039,Camden County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),5930,12310,629,18869,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),5097,11454,1006,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Candler County,county:13043,Candler County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1026,2664,73,3763,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),855,2588,105,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Carroll County,county:13045,Carroll County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),12464,30029,1346,43839,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),10867,29043,1997,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Catoosa County,county:13047,Catoosa County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),4771,20876,881,26528,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),4121,18888,1281,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Charlton County,county:13049,Charlton County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1004,2951,54,4009,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),873,2489,141,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Chatham County,county:13051,Chatham County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),62290,45688,3503,111481,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),52146,49740,4078,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Chattahoochee County,county:13053,Chattahoochee County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),594,751,45,1390,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),508,700,62,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Chattooga County,county:13055,Chattooga County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1613,6462,177,8252,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),1622,5827,295,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Cherokee County,county:13057,Cherokee County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),25231,80649,5015,110895,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),20717,80166,6438,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Clarke County,county:13059,Clarke County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),29603,12717,2019,44339,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),25474,15529,2203,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Clay County,county:13061,Clay County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),697,566,8,1271,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),574,560,23,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Clayton County,county:13063,Clayton County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),78220,12645,1647,92512,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),69400,14918,2428,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Clinch County,county:13065,Clinch County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),686,1727,34,2447,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),493,1549,76,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Cobb County,county:13067,Cobb County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),160121,152912,14466,327499,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),133871,169269,16955,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Coffee County,county:13069,Coffee County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),4094,9588,233,13915,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),3494,8883,361,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Colquitt County,county:13071,Colquitt County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),3463,9898,240,13601,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),2726,9618,337,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Columbia County,county:13073,Columbia County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),18887,43085,2270,64242,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),15800,42891,2443,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Cook County,county:13075,Cook County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1753,4176,112,6041,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),1462,4045,187,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Coweta County,county:13077,Coweta County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),16583,42533,2235,61351,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),14088,41972,2815,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Crawford County,county:13079,Crawford County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1421,3635,106,5162,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),1193,3494,162,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Crisp County,county:13081,Crisp County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),2837,4549,126,7512,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),2245,4546,171,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Dade County,county:13083,Dade County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),965,5051,226,6242,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),880,4448,347,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Dawson County,county:13085,Dawson County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1448,9900,356,11704,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),1233,9314,659,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Decatur County,county:13087,Decatur County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),4124,6020,126,10270,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),3529,5593,289,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,DeKalb County,county:13089,DeKalb County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),251370,51468,9666,312504,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),218383,70994,11761,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Dodge County,county:13091,Dodge County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1839,5021,138,6998,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),1441,4766,172,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Dooly County,county:13093,Dooly County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1872,1951,36,3859,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),1441,2022,70,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Dougherty County,county:13095,Dougherty County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),23311,10232,475,34018,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),20354,11048,561,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Douglas County,county:13097,Douglas County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),31005,24817,1594,57416,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),28166,25102,2068,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Early County,county:13099,Early County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),2168,2552,65,4785,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),1877,2515,112,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Echols County,county:13101,Echols County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),156,1007,13,1176,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),146,874,45,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Effingham County,county:13103,Effingham County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),4853,17874,679,23406,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),4049,17389,863,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Elbert County,county:13105,Elbert County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),2539,5292,139,7970,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),2154,4960,231,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Emanuel County,county:13107,Emanuel County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),2435,5335,75,7845,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),1974,5062,186,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Evans County,county:13109,Evans County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1130,2404,68,3602,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),852,2395,80,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Fannin County,county:13111,Fannin County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),1923,9632,222,11777,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),1778,8841,462,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Fayette County,county:13113,Fayette County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),23284,35048,2103,60435,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),19602,36356,2549,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Floyd County,county:13115,Floyd County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),9159,24114,1084,34357,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),7812,23480,1323,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
GA,2016,Forsyth County,county:13117,Forsyth County,county,HILLARY CLINTON (DEM),DONALD J. TRUMP (REP),23462,69851,4091,97404,"United States Senator, Isakson",JIM BARKSDALE (DEM),JOHNNY ISAKSON (I) (REP),18169,70833,5258,presidentVsSenate,ga-2016-official-results,ga-2016-official-results,https://results.sos.ga.gov/cdn/results/Georgia/export-2016NovGen.json
