Contest ID,Contest Title,Contest Seq Nbr,Contest Type,Contest Party,Absentee Mail Blank Votes,Absentee Walk-in Blank Votes,Election Blank Votes,Absentee Mail Over Votes,Absentee Walk-in Over Votes,Election Over Votes,Registered Voters,Total Precincts,Counted Precincts,Candidate ID,Candidate Name,Candidate Seq Nbr,Candidate Party,Absentee Mail Votes,Absentee Walk-in Votes,Election Votes,Total Votes
1,"President and Vice President",1,"OF",,4996,565,2728,220,14,204,749917,248,247,4,"(D) CLINTON, Hillary / KAINE, Tim",2,"",121181,27803,117907,266891
1,"President and Vice President",1,"OF",,4996,565,2728,220,14,204,749917,248,247,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",5,"",50539,12875,65433,128847
1,"President and Vice President",1,"OF",,4996,565,2728,220,14,204,749917,248,247,2,"(L) JOHNSON, Gary / WELD, Bill",3,"",6670,1383,7901,15954
1,"President and Vice President",1,"OF",,4996,565,2728,220,14,204,749917,248,247,1,"(G) STEIN, Jill / BARAKA, Ajamu",4,"",4623,1146,6968,12737
1,"President and Vice President",1,"OF",,4996,565,2728,220,14,204,749917,248,247,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",1,"",1974,347,2187,4508
2,"U.S. Senator",2,"OF",,8876,2060,9827,105,19,215,749917,247,247,8,"(D) SCHATZ, Brian",5,"",138628,30551,137425,306604
2,"U.S. Senator",2,"OF",,8876,2060,9827,105,19,215,749917,247,247,10,"(R) CARROLL, John",2,"",37487,9567,45599,92653
2,"U.S. Senator",2,"OF",,8876,2060,9827,105,19,215,749917,247,247,7,"(C) ALLISON, Joy J.",1,"",2438,1032,5633,9103
2,"U.S. Senator",2,"OF",,8876,2060,9827,105,19,215,749917,247,247,9,"(L) KOKOSKI, Michael A.",4,"",2288,755,3766,6809
2,"U.S. Senator",2,"OF",,8876,2060,9827,105,19,215,749917,247,247,6,"(A) GIUFFRE, John M. (Raghu)",3,"",381,149,863,1393
3,"U.S. Representative, Dist I",3,"OF",,5325,867,4821,64,8,89,749917,113,113,11,"(D) HANABUSA, Colleen Wakako",2,"",69745,12258,63414,145417
3,"U.S. Representative, Dist I",3,"OF",,5325,867,4821,64,8,89,749917,113,113,14,"(R) OSTROV, Shirlene D. (Shirl)",3,"",19988,4177,21793,45958
3,"U.S. Representative, Dist I",3,"OF",,5325,867,4821,64,8,89,749917,113,113,12,"(L) YIM, Alan J.K.",4,"",2720,634,3247,6601
3,"U.S. Representative, Dist I",3,"OF",,5325,867,4821,64,8,89,749917,113,113,13,"(N) GRIFFIN, Calvin (G)",1,"",1447,489,2445,4381
4,"U.S. Representative, Dist I Vacancy",4,"OF",,7053,1159,6652,118,21,137,749917,113,113,16,"(D) HANABUSA, Colleen Wakako",3,"",63497,10586,55000,129083
4,"U.S. Representative, Dist I Vacancy",4,"OF",,7053,1159,6652,118,21,137,749917,113,113,21,"(R) OSTROV, Shirlene DelaCruz",7,"",19075,4017,20998,44090
4,"U.S. Representative, Dist I Vacancy",4,"OF",,7053,1159,6652,118,21,137,749917,113,113,22,"(D) KAAIHUE, Angela Aulani",4,"",2061,661,3163,5885
4,"U.S. Representative, Dist I Vacancy",4,"OF",,7053,1159,6652,118,21,137,749917,113,113,18,"(L) YIM, Alan J.K.",10,"",2377,522,2660,5559
4,"U.S. Representative, Dist I Vacancy",4,"OF",,7053,1159,6652,118,21,137,749917,113,113,17,"(D) KIM, Howard",5,"",1674,399,2186,4259
4,"U.S. Representative, Dist I Vacancy",4,"OF",,7053,1159,6652,118,21,137,749917,113,113,15,"(D) CROSS, Peter",1,"",1147,405,1868,3420
