state,election_year,jurisdiction_name,jurisdiction_tag,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
HI,2016,Hawaii County,county:15001,hi-historical-presidential-baseline,county,historicalPresidentialCsv,41259,17501,6107,64867,https://files.hawaii.gov/elections/files/results/2016/general/summary.txt; https://files.hawaii.gov/elections/files/results/2016/general/media.txt
HI,2016,Honolulu County,county:15003,hi-historical-presidential-baseline,county,historicalPresidentialCsv,175696,90326,19768,285790,https://files.hawaii.gov/elections/files/results/2016/general/summary.txt; https://files.hawaii.gov/elections/files/results/2016/general/media.txt
HI,2016,Kalawao County,county:15005,hi-historical-presidential-baseline,county,historicalPresidentialCsv,14,1,5,20,https://files.hawaii.gov/elections/files/results/2016/general/summary.txt; https://files.hawaii.gov/elections/files/results/2016/general/media.txt
HI,2016,Kauai County,county:15007,hi-historical-presidential-baseline,county,historicalPresidentialCsv,16456,7574,2305,26335,https://files.hawaii.gov/elections/files/results/2016/general/summary.txt; https://files.hawaii.gov/elections/files/results/2016/general/media.txt
HI,2016,Maui County,county:15009,hi-historical-presidential-baseline,county,historicalPresidentialCsv,33466,13445,5014,51925,https://files.hawaii.gov/elections/files/results/2016/general/summary.txt; https://files.hawaii.gov/elections/files/results/2016/general/media.txt
HI,2020,Hawaii County,county:15001,hi-historical-presidential-baseline,county,historicalPresidentialCsv,58731,26897,2186,87814,https://files.hawaii.gov/elections/files/results/2020/general/summary.txt; https://files.hawaii.gov/elections/files/results/2020/general/media.txt
HI,2020,Honolulu County,county:15003,hi-historical-presidential-baseline,county,historicalPresidentialCsv,238869,136259,6986,382114,https://files.hawaii.gov/elections/files/results/2020/general/summary.txt; https://files.hawaii.gov/elections/files/results/2020/general/media.txt
HI,2020,Kalawao County,county:15005,hi-historical-presidential-baseline,county,historicalPresidentialCsv,23,1,0,24,https://files.hawaii.gov/elections/files/results/2020/general/summary.txt; https://files.hawaii.gov/elections/files/results/2020/general/media.txt
HI,2020,Kauai County,county:15007,hi-historical-presidential-baseline,county,historicalPresidentialCsv,21225,11582,690,33497,https://files.hawaii.gov/elections/files/results/2020/general/summary.txt; https://files.hawaii.gov/elections/files/results/2020/general/media.txt
HI,2020,Maui County,county:15009,hi-historical-presidential-baseline,county,historicalPresidentialCsv,47282,22125,1613,71020,https://files.hawaii.gov/elections/files/results/2020/general/summary.txt; https://files.hawaii.gov/elections/files/results/2020/general/media.txt
