state,election_year,jurisdiction_name,comparison_dem,comparison_rep,comparison_other
ID,2024,Ada County,103820,142602,12767
ID,2024,Adams County,557,2001,77
ID,2024,Bannock County,12614,23362,3347
ID,2024,Bear Lake County,261,2743,190
ID,2024,Benewah County,833,3857,195
ID,2024,Bingham County,3110,14966,1931
ID,2024,Blaine County,7370,4851,410
ID,2024,Boise County,972,3524,227
ID,2024,Bonner County,7340,20570,899
ID,2024,Bonneville County,11017,38244,4644
ID,2024,Boundary County,1064,5588,219
ID,2024,Butte County,155,1147,133
ID,2024,Camas County,127,501,67
ID,2024,Canyon County,23594,69017,3990
ID,2024,Caribou County,338,2758,286
ID,2024,Cassia County,1161,7158,888
ID,2024,Clark County,31,249,28
ID,2024,Clearwater County,749,3462,109
ID,2024,Custer County,434,1788,297
ID,2024,Elmore County,2225,7391,755
ID,2024,Franklin County,519,5838,529
ID,2024,Fremont County,799,5253,596
ID,2024,Gem County,1658,8313,389
ID,2024,Gooding County,904,4405,477
ID,2024,Idaho County,1425,7881,323
ID,2024,Jefferson County,1451,12399,1443
ID,2024,Jerome County,1464,5610,701
ID,2024,Kootenai County,20798,69278,2834
ID,2024,Latah County,8808,10366,683
ID,2024,Lemhi County,800,3553,335
ID,2024,Lewis County,293,1465,53
ID,2024,Lincoln County,330,1401,145
ID,2024,Madison County,1933,13678,1408
ID,2024,Minidoka County,1183,5793,744
ID,2024,Nez Perce County,5833,13333,665
ID,2024,Oneida County,216,1898,232
ID,2024,Owyhee County,695,4023,141
ID,2024,Payette County,1937,9217,394
ID,2024,Power County,633,2142,202
ID,2024,Shoshone County,1444,4056,194
ID,2024,Teton County,3132,3102,351
ID,2024,Twin Falls County,7119,23925,2968
ID,2024,Valley County,2801,4130,209
ID,2024,Washington County,938,4330,166
