state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
ID,2012,Ada County,Ada County,Ada County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,77137,97554,5855,180546
ID,2012,Adams County,Adams County,Adams County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,577,1413,70,2060
ID,2012,Bannock County,Bannock County,Bannock County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,13214,21010,1036,35260
ID,2012,Bear Lake County,Bear Lake County,Bear Lake County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,302,2489,31,2822
ID,2012,Benewah County,Benewah County,Benewah County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,1164,2596,124,3884
ID,2012,Bingham County,Bingham County,Bingham County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,3822,13440,341,17603
ID,2012,Blaine County,Blaine County,Blaine County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,5992,3939,263,10194
ID,2012,Boise County,Boise County,Boise County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,1053,2284,108,3445
ID,2012,Bonner County,Bonner County,Bonner County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,6500,11367,669,18536
ID,2012,Bonneville County,Bonneville County,Bonneville County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,9903,32276,1034,43213
ID,2012,Boundary County,Boundary County,Boundary County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,1225,3138,181,4544
ID,2012,Butte County,Butte County,Butte County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,258,1001,27,1286
ID,2012,Camas County,Camas County,Camas County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,159,402,17,578
ID,2012,Canyon County,Canyon County,Canyon County,id-historical-presidential-baseline,county,officialIdahoArchiveHtmlCountyHistorical,https://archive.sos.idaho.gov/ELECT/results/2012/General/cnty_USPres.htm,19866,44369,1855,66090
